재생성 지표,최소,평균,최대,해석
관측 건수,3.00000000,3.00000000,3.00000000,출력 검증 실패 후 1회 재생성
추가 시간(초),3.58200000,4.69466667,6.43700000,output_retry 이벤트~재생성 완료
재생성 귀속 토큰,4102.00000000,4511.33333333,4785.00000000,마지막 고용량 호출을 재생성으로 귀속한 추정
재생성 귀속 비용(USD),0.00387720,0.00512415,0.00604500,호출 순서 기반 추정; 별도 stage usage 미저장
