모델/정책,검증 구간,표본 수,정상,사전고장,정밀도,재현율,F1,오경보율,ROC-AUC,Average Precision,판정
Isolation Forest 정책,검증,169,143,26,0.0755,0.1538,0.1013,0.3427,0.5148,0.1907,분포 이동 취약; 독립 알람 사용 금지
Mahalanobis 정책,검증,169,143,26,0.0469,0.1154,0.0667,0.4266,0.2996,0.2146,분포 이동 취약; 독립 알람 사용 금지
IF·Mahalanobis 결합,검증,169,143,26,0.0600,0.1154,0.0789,0.3287,0.2929,0.1507,분포 이동 취약; 독립 알람 사용 금지
강한 q99 결합,검증,169,143,26,0.5000,0.0385,0.0714,0.0070,0.2929,0.1507,분포 이동 취약; 독립 알람 사용 금지
지속성 criticality 결합,검증,169,143,26,0.0000,0.0000,0.0000,0.2867,0.2929,0.1507,분포 이동 취약; 독립 알람 사용 금지
Isolation Forest 정책,홀드아웃,183,106,77,0.7600,0.4935,0.5984,0.1132,0.6370,0.7006,홀드아웃 참고; 보조 신호로만 사용
Mahalanobis 정책,홀드아웃,183,106,77,0.6133,0.5974,0.6053,0.2736,0.6566,0.7228,홀드아웃 참고; 보조 신호로만 사용
IF·Mahalanobis 결합,홀드아웃,183,106,77,0.8261,0.4935,0.6179,0.0755,0.6672,0.7380,홀드아웃 참고; 보조 신호로만 사용
강한 q99 결합,홀드아웃,183,106,77,1.0000,0.2857,0.4444,0.0000,0.6672,0.7380,홀드아웃 참고; 보조 신호로만 사용
지속성 criticality 결합,홀드아웃,183,106,77,1.0000,0.2727,0.4286,0.0000,0.6672,0.7380,홀드아웃 참고; 보조 신호로만 사용
