현재 모델,검증구간,표본수,정확도,균형정확도,Macro_F1,Weighted_F1,Top2_정확도,Bucket_MAE,Bucket_RMSE,인접구간이내비율,평균_부호오차,조기예측률,지연예측률,Multiclass_Brier,Multiclass_LogLoss,Confidence_ECE10
best_leadtime_lgbm_risk_anomaly_v2_restored,train,229,0.550218,0.418803,0.385178,0.506231,0.851528,0.524017,0.820054,0.925764,-0.209607,0.292576,0.157205,0.632312,1.242850,0.177207
best_leadtime_lgbm_risk_anomaly_v2_restored,validation,26,0.461538,0.437500,0.431250,0.481731,1.000000,0.538462,0.733799,1.000000,-0.153846,0.346154,0.192308,0.818016,1.239055,0.412786
best_leadtime_lgbm_risk_anomaly_v2_restored,holdout,66,0.712121,0.672041,0.693333,0.707879,0.984848,0.287879,0.536543,1.000000,0.075758,0.106061,0.181818,0.393251,0.602341,0.150075
