substation_id,matched_name,kapt_code,kapt_bjd_code,kakao_place_id,life_zone,dong,village,road_address,jibun_address,latitude,longitude,heating_type,kapt_complex_type,approval_date,household_count,building_count,gross_floor_area_m2,exclusive_residential_area_m2,exclusive_area_households_json,fee_year,fee_latest_month,fee_months_count,private_usage_cost_ytd_krw,private_usage_cost_latest_month_krw,private_usage_cost_latest_month_unit_krw_per_m2,total_mgmt_cost_ytd_krw,total_mgmt_cost_latest_month_krw,total_mgmt_cost_latest_month_unit_krw_per_m2,total_mgmt_cost_ytd_per_household_krw,predist_mapping_type,predist_mapping_note,predist_manufacturer,predist_source_file,predist_raw_file_path,predist_configuration_type,predist_configuration_ko,predist_sensor_groups,predist_sensor_groups_ko,predist_sensor_column_count,predist_raw_sampled_rows,predist_raw_sampled_columns,predist_has_outdoor_temperature_sensor,predist_has_space_heating_sensor,predist_has_dhw_sensor,predist_has_dhw_storage_sensor,predist_has_primary_heat_meter_sensor,predist_has_primary_supply_return_temp_sensor
11,가락마을10단지이지더원아파트,A10027915,3611011200,22670539,1,고운동,가락마을,세종특별자치시 마음로 181,세종특별자치시 고운동 1400,36.51386332,127.22779744,지역난방,아파트,가락마을10단지 (A10027915),900,17,158684,78883.215,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""618"", ""85㎡ ~ 135㎡ 이하"": ""282"", ""135㎡ 초과"": ""0""}",2026,05,5,949306000,136478000,1730.00,1551978000,256463000,3251.00,1724420.00,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_11.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_11.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,8,200,15,1,1,1,1,0,0
12,가락마을11단지중흥S클래스에듀카운티아파트,A10027642,3611011200,20671226,1,고운동,가락마을,세종특별자치시 마음로 152,세종특별자치시 고운동 1409,36.51169979,127.23100283,지역난방,아파트,가락마을11단지 (A10027642),607,9,89088,41878.1154,"{""60㎡ 이하"": ""323"", ""60㎡ ~ 85㎡ 이하"": ""284"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,04,4,480601000,89791000,2144.00,764575000,164134000,3919.00,1259596.38,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_12.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_12.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,9,200,16,1,1,1,1,0,0
13,가락마을13단지대광로제비앙아파트,A10027779,3611011200,20671232,1,고운동,가락마을,세종특별자치시 마음로 182,세종특별자치시 고운동 1401,36.51378613,127.23045419,지역난방,아파트,가락마을13단지 (A10027779),490,8,71090,35956.13,"{""60㎡ 이하"": ""220"", ""60㎡ ~ 85㎡ 이하"": ""270"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,467752000,61044000,1698.00,779000000,123745000,3441.00,1589795.92,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_13.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_13.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,9,200,16,1,1,1,1,0,0
14,가락마을14단지우남퍼스트빌아파트,A10025026,3611011200,1128866099,1,고운동,가락마을,세종특별자치시 마음안로 131,세종특별자치시 고운동 1403,36.51379014,127.23210197,지역난방,아파트,가락마을 14단지 (A10025026),290,6,58470,32344.0146,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""0"", ""85㎡ ~ 135㎡ 이하"": ""290"", ""135㎡ 초과"": ""0""}",2026,05,5,315108000,45552000,1408.00,561442000,94757000,2929.00,1936006.90,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_14.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_14.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,9,200,16,1,1,1,1,0,0
15,가락마을15단지아파트,A10027878,3611011200,20671227,1,고운동,가락마을,세종특별자치시 마음안로 190,세종특별자치시 고운동 1393,36.51670115,127.23699947,지역난방,아파트,가락마을15단지 (A10027878),365,7,53161,26365.634,"{""60㎡ 이하"": ""140"", ""60㎡ ~ 85㎡ 이하"": ""225"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,327693000,47657000,1808.00,588025000,99931000,3790.00,1611027.40,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_15.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_15.csv,SH + DHW with sub-circuits,난방 + 급탕 + 보조회로,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,10,200,25,1,1,1,1,0,0
16,가락마을16단지한양수자인에듀그린아파트,A10028038,3611011200,19149381,1,고운동,가락마을,세종특별자치시 만남로 187,세종특별자치시 고운동 1395,36.5161176,127.23860978,지역난방,아파트,가락마을16단지(에듀그린) (A10028038),463,6,64240,35035.787,"{""60㎡ 이하"": ""171"", ""60㎡ ~ 85㎡ 이하"": ""292"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,447274000,61339000,1751.00,804027000,132931000,3794.00,1736559.40,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_16.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_16.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop,외기온|난방 회로,5,200,12,1,1,0,0,0,0
17,가락마을17단지아파트,A10027889,3611011200,20671220,1,고운동,가락마을,세종특별자치시 마음안1로 167,세종특별자치시 고운동 1386,36.5180366,127.23657371,지역난방,아파트,가락마을17단지아파트 (A10027889),508,10,69513,30446.1802,"{""60㎡ 이하"": ""508"", ""60㎡ ~ 85㎡ 이하"": ""0"", ""85㎡ ~ 135㎡ 이하"": ""0"", ""135㎡ 초과"": ""0""}",2026,05,5,414087000,56570000,1858.00,747044000,123670000,4061.00,1470559.06,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_17.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_17.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop,외기온|난방 회로,6,200,13,1,1,0,0,0,0
18,가락마을18단지힐스테이트세종3차아파트,A10026235,3611011200,1804143472,1,고운동,가락마을,세종특별자치시 마음안1로 139,세종특별자치시 고운동 2112,36.52106828,127.23510472,지역난방,아파트,가락마을18단지아파트 (A10026235),667,14,94024,67541.9028,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""0"", ""85㎡ ~ 135㎡ 이하"": ""667"", ""135㎡ 초과"": ""0""}",2026,04,4,605568000,108924000,1613.00,976409000,203093000,3008.00,1463881.56,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_18.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_18.csv,SH + DHW,난방 + 급탕,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,10,200,17,1,1,1,1,0,0
19,가락마을19단지파라곤아파트,A10025727,3611011200,1977545292,1,고운동,가락마을,세종특별자치시 밝은뜰로 15,세종특별자치시 고운동 2111,36.52341914,127.23293351,지역난방,아파트,가락마을19단지 아파트 (A10025727),998,19,167706,83844.2739,"{""60㎡ 이하"": ""270"", ""60㎡ ~ 85㎡ 이하"": ""430"", ""85㎡ ~ 135㎡ 이하"": ""298"", ""135㎡ 초과"": ""0""}",2026,05,5,860033000,121486000,1449.00,1514831000,251983000,3006.00,1517866.73,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_19.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_19.csv,SH + DHW with sub-circuits,난방 + 급탕 + 보조회로,space_heating_loop|domestic_hot_water|domestic_hot_water_storage|primary_heat_meter|primary_supply_return_temperature,난방 회로|급탕|급탕 저장탱크|1차측 열량계|1차측 공급/환수온도,15,200,21,0,1,1,1,1,1
20,가재마을10단지제일풍경채에듀파크아파트,A33980015,3611011100,18324793,3,종촌동,가재마을,세종특별자치시 도움1로 74,세종특별자치시 종촌동 656,36.50232147,127.25192962,지역난방,아파트,가재마을10단지 제일풍경채에듀파크 (A33980015),436,9,73053,41466.7832,"{""60㎡ 이하"": ""0"", ""60㎡ ~ 85㎡ 이하"": ""247"", ""85㎡ ~ 135㎡ 이하"": ""189"", ""135㎡ 초과"": ""0""}",2026,05,5,468483000,64535000,1556.00,838640000,139563000,3365.00,1923486.24,virtual_by_substation_id,가상 매핑: 세종 아파트와 PreDist 설비의 실제 물리 연결은 검증되지 않음.,manufacturer 1,substation_20.csv,../HeatGrid_Agent/best/data/raw_data/predist_v2/manufacturer 1/operational_data/substation_20.csv,SH + DHW with sub-circuits,난방 + 급탕 + 보조회로,outdoor_weather|space_heating_loop|domestic_hot_water|domestic_hot_water_storage,외기온|난방 회로|급탕|급탕 저장탱크,15,200,22,1,1,1,1,0,0
