feature,importance
p_net_return_temperature__mean__roll3d_slope,2
dhw_supply_temperature_gap__last,2
p_hc1_return_temperature__last,2
outdoor_temperature__delta,2
network_temperature_gap__last__roll3d_slope,2
p_net_meter_volume__std,2
hour_cos,2
s_hc1_supply_temperature_setpoint__first,2
p_net_meter_volume__delta,2
p_net_meter_heat_power__std,2
s_dhw_lower_storage_temperature__delta,2
p_net_meter_heat_power__first,2
s_hc1_supply_temperature__mean,2
s_hc1_supply_temperature__delta,2
dow_sin,2
outdoor_temperature__std__roll3d_slope,2
outdoor_temperature__last,1
p_net_meter_flow__mean__roll7d_slope,1
hour_sin,1
configuration_type__is__sh,1
configuration_type__is__sh_dhw,1
anomaly_criticality,1
outdoor_temperature__first,1
missing_count,1
outdoor_temperature__mean__roll3d_delta,1
s_hc1_supply_temperature_setpoint__delta,1
p_hc1_return_temperature__delta,1
s_dhw_supply_temperature__max,1
configuration_type__is__sh_dhw_with_sub_circuits,1
s_hc1.3_heating_pump_status__dominant__is__missing,1
extreme_change_count,1
manufacturer__is__manufacturer_1,1
has_dhw,1
s_dhw_supply_temperature_setpoint__max,1
p_net_meter_flow__delta,1
s_dhw_supply_temperature_setpoint__mean,1
s_hc1_control_unit_mode__dominant__is__tag,1
hour_of_day,1
is_heating_season,1
s_hc1_control_unit_mode__dominant__is__missing,0
p_net_return_temperature__mean__roll7d_delta,0
s_hc1.3_heating_pump_status__dominant__is__aus,0
s_hc1.3_control_unit_mode__dominant__is__tag,0
p_net_return_temperature__mean__roll24h_delta,0
p_net_supply_temperature__mean__roll7d_delta,0
s_hc1.3_heating_pump_status__dominant__is__ein,0
s_hc1.2_heating_pump_status__dominant__is__aus,0
s_hc1.3_control_unit_mode__dominant__is__missing,0
s_hc1_control_unit_mode__dominant__is__nacht,0
s_hc1.2_heating_pump_status__dominant__is__missing,0
outdoor_temperature__std__roll7d_delta,0
s_hc1.2_heating_pump_status__dominant__is__ein,0
s_hc1.2_dhw_control unit_mode__dominant__is__standby,0
s_hc1_supply_temperature__mean__roll24h_delta,0
p_net_meter_flow__mean__roll24h_delta,0
s_hc1.2_dhw_control unit_mode__dominant__is__missing,0
s_dhw_supply_temperature_setpoint__mean__roll7d_delta,0
s_dhw_supply_temperature_setpoint__mean__roll3d_delta,0
configuration_type__is__missing,0
s_dhw_supply_temperature_setpoint__mean__roll24h_delta,0
s_dhw_supply_temperature__mean__roll7d_delta,0
configuration_type__is__sh_with_buffer_tank,0
s_dhw_supply_temperature__mean__roll3d_delta,0
configuration_type__is__sh_with_sub_circuits,0
s_dhw_supply_temperature__mean__roll24h_delta,0
manufacturer__is__manufacturer_2,0
s_hc1_supply_temperature_setpoint__mean__roll7d_delta,0
s_hc1_supply_temperature_setpoint__mean__roll3d_delta,0
s_dhw_3-way_valve_status__dominant__is__ein,0
s_hc1_supply_temperature_setpoint__mean__roll24h_delta,0
s_dhw_control_unit_mode__dominant__is__tag,0
s_hc1_supply_temperature__mean__roll7d_delta,0
s_hc1.1_control_unit_mode__dominant__is__missing,0
s_hc1.1_control_unit_mode__dominant__is__nacht,0
s_hc1.1_control_unit_mode__dominant__is__tag,0
p_net_meter_heat_power__mean__roll7d_delta,0
s_hc1.1_heating_pump_status__dominant__is__ein,0
s_hc1.1_heating_pump_status__dominant__is__missing,0
s_hc1.2_control_unit_mode__dominant__is__missing,0
s_hc1.2_control_unit_mode__dominant__is__nacht,0
p_net_meter_heat_power__mean__roll24h_delta,0
s_hc1.2_control_unit_mode__dominant__is__standby,0
p_net_meter_flow__mean__roll7d_delta,0
s_hc1.2_control_unit_mode__dominant__is__tag,0
p_net_meter_flow__mean__roll3d_slope,0
s_hc1_control_unit_mode__dominant__is__standby,0
p_net_supply_temperature__missing_count,0
outdoor_temperature__std__roll24h_delta,0
s_dhw_supply_temperature_setpoint__first,0
s_dhw_supply_temperature__missing_count,0
s_dhw_supply_temperature__missing_rate,0
p_net_meter_flow__missing_rate,0
p_net_meter_flow__missing_count,0
dhw_supply_temperature_gap__mean,0
s_dhw_supply_temperature_setpoint__delta,0
s_dhw_supply_temperature_setpoint__last,0
s_dhw_upper_storage_temperature__missing_rate,0
s_dhw_supply_temperature_setpoint__min,0
s_dhw_supply_temperature_setpoint__missing_count,0
