split,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate,scope
train,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0,overall
train,290,181,109,1.0,1.0,1.0,1.0,1.0,0.0,manufacturer_2_sh
validation,431,288,143,0.7780934343434344,0.6406740830072655,0.8260869565217391,0.3986013986013986,0.5377358490566038,0.041666666666666664,overall
validation,84,33,51,0.8312537136066548,0.9111036884058202,0.9696969696969697,0.6274509803921569,0.7619047619047619,0.030303030303030304,manufacturer_2_sh
holdout,300,214,86,0.9215116279069767,0.7929006145214028,0.875,0.5697674418604651,0.6901408450704225,0.03271028037383177,overall
holdout,65,53,12,0.9481132075471698,0.8786616161616162,0.6875,0.9166666666666666,0.7857142857142857,0.09433962264150944,manufacturer_2_sh
