feature,category,importance,missing_rate,zero_rate,unique_count,min,median,max,target_corr,causal_requirement
p_net_supply_temperature__mean,sensor_window_stat,20.0,0.0,0.0,1548,10.194444444444445,89.43055555555556,109.72763888888888,0.014739018806646895,must be computed using only data available at or before window_end
s_dhw_supply_temperature__min,sensor_window_stat,19.0,0.0,0.0,483,9.2,57.9,68.41,-0.02084059508154905,must be computed using only data available at or before window_end
s_dhw_supply_temperature__std,sensor_window_stat,19.0,0.0,0.0029635901778154107,1409,0.0,1.170296224879947,13.793000295180782,-0.0729195546530741,must be computed using only data available at or before window_end
s_hc1_supply_temperature__mean__roll24h_mean,causal_temporal,18.0,0.0,0.0,2337,13.917847222222221,58.537847222222226,83.67638888888888,0.09768498944145966,must be computed using only data available at or before window_end
p_net_meter_flow__min,sensor_window_stat,18.0,0.0,0.05334462320067739,1183,0.0,1604.0,7020000.0,0.1508128840580719,must be computed using only data available at or before window_end
p_net_meter_flow__mean__roll3d_mean,causal_temporal,17.0,0.0,0.0,2351,2.1666666666666665,3441.9840277777776,7353000.0,0.15722115312080906,must be computed using only data available at or before window_end
s_dhw_supply_temperature__mean__roll3d_mean,causal_temporal,17.0,0.0,0.0,1390,12.291203703703703,60.56666666666667,66.77520833333334,-0.08636189784790949,must be computed using only data available at or before window_end
dhw_supply_temperature_gap__last__roll3d_mean,causal_temporal,16.0,0.0,0.0004233700254022015,1116,-49.06666666666667,0.5499999999999972,31.365000000000002,-0.13553108352684073,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll24h_mean,causal_temporal,16.0,0.0,0.0,2168,11.465277777777779,89.39756944444444,109.20506944444445,0.020375965144682946,must be computed using only data available at or before window_end
s_hc1_supply_temperature_setpoint__mean__roll24h_mean,causal_temporal,16.0,0.0,0.0,1980,10.0,57.70059722222223,83.77430555555556,0.10592732643841475,must be computed using only data available at or before window_end
p_net_return_temperature__std,sensor_window_stat,16.0,0.0,0.021591871295512276,2290,0.0,2.3483116079194275,17.385544077110236,-0.09930161076933824,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll3d_mean,causal_temporal,15.0,0.0,0.0029635901778154107,2105,-43.85000000000001,0.1299999999999994,43.5125,-0.04868517150435222,must be computed using only data available at or before window_end
p_net_meter_flow__max,sensor_window_stat,15.0,0.0,0.0,1688,2.5,5454.5,10044000.0,0.15953234562875923,must be computed using only data available at or before window_end
p_net_supply_temperature__max,sensor_window_stat,15.0,0.0,0.0,510,11.0,91.0,110.05,0.020686881053299033,must be computed using only data available at or before window_end
anomaly_ensemble_score,anomaly_derived,14.0,0.0,0.0,2362,0.3554917958965486,0.528029177486468,280.3839195297156,0.17163983529212842,must be computed using only data available at or before window_end
outdoor_temperature__mean__roll3d_slope,causal_temporal,14.0,0.0,0.05376799322607959,2236,-6.516666666666666,-0.006006493506493462,10.629166666666665,-0.1871589910324224,must be computed using only data available at or before window_end
outdoor_temperature__std__roll3d_delta,causal_temporal,14.0,0.0,0.563082133784928,1033,-7.344919063989407,0.0,3.724779262119375,-0.013169175720001319,must be computed using only data available at or before window_end
p_net_meter_heat_power__mean__roll24h_mean,causal_temporal,14.0,0.0,0.004233700254022015,2318,0.0,161.36041666666665,258785.41666666666,0.14350544333611845,must be computed using only data available at or before window_end
s_dhw_supply_temperature__mean__roll24h_mean,causal_temporal,14.0,0.0,0.0,1384,10.678333333333335,60.56666666666667,67.31472222222223,-0.09410204918504868,must be computed using only data available at or before window_end
p_net_meter_heat_power__mean__roll3d_mean,causal_temporal,13.0,0.0,0.004233700254022015,2335,0.0,157.21675925925928,258785.41666666666,0.13755405688270114,must be computed using only data available at or before window_end
s_dhw_supply_temperature__mean__roll7d_slope,causal_temporal,13.0,0.0,0.07324301439458086,1367,-28.444444444444457,0.0,9.261111111111106,-0.10302706975797707,must be computed using only data available at or before window_end
dhw_supply_temperature_gap__max_abs,sensor_window_stat,13.0,0.0,0.0,418,0.2000000000000028,3.504999999999999,67.06,0.0949077104937767,must be computed using only data available at or before window_end
p_hc1_return_temperature__min,sensor_window_stat,13.0,0.0,0.0,745,10.43,39.2,65.4,0.04621196691345859,must be computed using only data available at or before window_end
p_net_meter_heat_power__min,sensor_window_stat,13.0,0.0,0.1096528365791702,738,0.0,81.5,231200.0,0.12069368359691388,must be computed using only data available at or before window_end
p_net_meter_flow__mean__roll24h_mean,causal_temporal,12.0,0.0,0.0,2349,2.1666666666666665,3397.6180555555557,7353000.0,0.15821506806950428,must be computed using only data available at or before window_end
p_net_meter_heat_power__max,sensor_window_stat,12.0,0.0,0.008890770533446233,1290,0.0,309.75,381900.0,0.1562756587378087,must be computed using only data available at or before window_end
s_dhw_upper_storage_temperature__max,sensor_window_stat,12.0,0.0,0.0,404,8.0,60.9,71.94,-0.1910433415141763,must be computed using only data available at or before window_end
outdoor_temperature__mean__roll7d_mean,causal_temporal,11.0,0.0,0.0,2348,-2.5694444444444446,8.470722853535353,27.779265873015873,-0.09178836665859161,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__max_abs,sensor_window_stat,11.0,0.0,0.0,833,0.0999999999999943,4.099999999999994,62.0,-0.03679061007087363,must be computed using only data available at or before window_end
s_dhw_supply_temperature_setpoint__std,sensor_window_stat,11.0,0.0,0.8175275190516511,282,0.0,0.0,28.0,0.09493624696113663,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll7d_mean,causal_temporal,10.0,0.0,0.002540220152413209,2238,-43.85000000000001,0.14688644688644714,43.5125,-0.05102403418860716,must be computed using only data available at or before window_end
network_temperature_gap__max_abs__roll7d_mean,causal_temporal,10.0,0.0,0.0029635901778154107,1844,0.0,47.97677777777778,66.33333333333333,0.024323556404104076,must be computed using only data available at or before window_end
outdoor_temperature__mean__roll3d_mean,causal_temporal,10.0,0.0,0.0,2346,-4.49988425925926,8.592066936728394,28.308564814814815,-0.09066432041357508,must be computed using only data available at or before window_end
s_dhw_supply_temperature__mean__roll3d_slope,causal_temporal,10.0,0.0,0.05292125317527519,1353,-28.444444444444457,1.2634990994069629e-15,9.261111111111106,-0.10147720836566343,must be computed using only data available at or before window_end
s_hc1_supply_temperature__mean__roll7d_mean,causal_temporal,10.0,0.0,0.0,2351,15.83538148148148,58.321022727272734,82.86031746031746,0.09444245490109841,must be computed using only data available at or before window_end
outdoor_temperature__max,sensor_window_stat,10.0,0.0,0.0021168501270110076,710,-5.3,9.64375,35.9,-0.1238063881338884,must be computed using only data available at or before window_end
s_dhw_supply_temperature__last,sensor_window_stat,10.0,0.0,0.0,435,9.64,60.9,72.8,-0.0908438366659235,must be computed using only data available at or before window_end
s_hc1_supply_temperature__last,sensor_window_stat,10.0,0.0,0.0,1061,12.96,59.1,101.6,0.10560819905811161,must be computed using only data available at or before window_end
network_temperature_gap__mean__roll3d_delta,causal_temporal,9.0,0.0,0.5635055038103303,915,-44.22222222222222,0.0,34.791666666666664,0.0365178781804874,must be computed using only data available at or before window_end
outdoor_temperature__std__roll24h_mean,causal_temporal,9.0,0.0,0.003810330228619814,2352,0.0,0.6121545234103074,4.177605787353724,-0.14327280276252577,must be computed using only data available at or before window_end
s_dhw_supply_temperature_setpoint__mean__roll24h_mean,causal_temporal,9.0,0.0,0.0,242,48.11111111111111,60.0,71.42592592592592,0.0905528074786199,must be computed using only data available at or before window_end
p_hc1_return_temperature__max,sensor_window_stat,9.0,0.0,0.0,743,12.01,48.2,73.28,0.0065135807758211995,must be computed using only data available at or before window_end
p_net_meter_flow__last,sensor_window_stat,9.0,0.0,0.0021168501270110076,1677,0.0,3365.0,8460000.0,0.1567044183230326,must be computed using only data available at or before window_end
s_dhw_upper_storage_temperature__min,sensor_window_stat,9.0,0.0,0.0,585,7.5,55.150000000000006,69.2,-0.12560227061035414,must be computed using only data available at or before window_end
network_temperature_gap__last__roll24h_mean,causal_temporal,8.0,0.0,0.0046570702794242165,1142,-1.0,41.0,63.0,0.08354051455693513,must be computed using only data available at or before window_end
network_temperature_gap__mean__roll24h_mean,causal_temporal,8.0,0.0,0.003386960203217612,2222,-0.3472222222222222,41.38027777777778,59.91666666666666,0.07338146426343867,must be computed using only data available at or before window_end
outdoor_temperature__mean__roll24h_mean,causal_temporal,8.0,0.0,0.0,2332,-4.888541666666666,8.631458333333335,28.824305555555554,-0.09844755134939356,must be computed using only data available at or before window_end
s_dhw_supply_temperature_setpoint__mean__roll3d_mean,causal_temporal,8.0,0.0,0.0,340,48.11111111111111,60.0,71.42592592592592,0.08310721934527603,must be computed using only data available at or before window_end
s_dhw_3-way_valve_status__dominant__is__missing,data_quality,8.0,0.0,0.2506350550381033,2,0.0,1.0,1.0,0.08678059158516321,must be computed using only data available at or before window_end
s_dhw_control_unit_mode__dominant__is__missing,data_quality,8.0,0.0,0.3077900084674005,2,0.0,1.0,1.0,0.12976254406626966,must be computed using only data available at or before window_end
network_temperature_gap__last,sensor_window_stat,8.0,0.0,0.007620660457239628,848,-1.0,40.587500000000006,70.0,0.07687244781344098,must be computed using only data available at or before window_end
s_dhw_supply_temperature__mean,sensor_window_stat,8.0,0.0,0.0,1147,9.612777777777778,60.56666666666667,70.01694444444445,-0.10211627331472839,must be computed using only data available at or before window_end
network_temperature_gap__max_abs__roll24h_mean,causal_temporal,7.0,0.0,0.0029635901778154107,939,0.0,48.0,69.5,0.0330190234304217,must be computed using only data available at or before window_end
network_temperature_gap__max_abs__roll3d_mean,causal_temporal,7.0,0.0,0.0029635901778154107,1495,0.0,47.98569444444445,66.33333333333333,0.023143751162596145,must be computed using only data available at or before window_end
p_net_meter_flow__mean__roll7d_mean,causal_temporal,7.0,0.0,0.0,2351,2.1666666666666665,3220.018888888889,7353000.0,0.1552718508749024,must be computed using only data available at or before window_end
p_net_meter_heat_power__mean__roll3d_slope,causal_temporal,7.0,0.0,0.0563082133784928,2229,-49088.888888888876,0.02932773245273286,29033.333333333314,-0.05118742265446462,must be computed using only data available at or before window_end
s_hc1_supply_temperature_setpoint__mean__roll3d_mean,causal_temporal,7.0,0.0,0.0,2031,10.0,57.6077199074074,82.8781746031746,0.10485853495799813,must be computed using only data available at or before window_end
p_net_return_temperature__last,sensor_window_stat,7.0,0.0,0.0,641,11.0,50.0,75.0,-0.09029677262469808,must be computed using only data available at or before window_end
p_net_return_temperature__min,sensor_window_stat,7.0,0.0,0.0,528,10.0,43.0,68.03666666666666,-0.03275446439053005,must be computed using only data available at or before window_end
s_dhw_lower_storage_temperature__max,sensor_window_stat,7.0,0.0,0.0,527,7.9,56.1,70.1,-0.13560786480841536,must be computed using only data available at or before window_end
s_dhw_lower_storage_temperature__mean,sensor_window_stat,7.0,0.0,0.0,1496,7.67638888888889,32.16319444444444,69.61388888888888,-0.08268202310942964,must be computed using only data available at or before window_end
s_dhw_lower_storage_temperature__min,sensor_window_stat,7.0,0.0,0.0,576,7.6,16.2,69.3,-0.03695102406433453,must be computed using only data available at or before window_end
s_dhw_upper_storage_temperature__std,sensor_window_stat,7.0,0.0,0.003386960203217612,1528,0.0,1.3527774006071067,20.742640935536624,-0.009016795003109793,must be computed using only data available at or before window_end
