group_name,group_value,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision_high_or_critical,recall_high_or_critical,f1_high_or_critical,false_positive_rate_high_or_critical
split_event_regime_based,holdout,300,214,86,0.7627689632688546,0.6196530346996173,0.5866666666666667,0.5116279069767442,0.546583850931677,0.14485981308411214
split_event_regime_based,train,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
split_event_regime_based,validation,431,288,143,0.7785547785547786,0.7919356185632367,0.7761194029850746,0.7272727272727273,0.7509025270758123,0.10416666666666667
manufacturer_2_sh,holdout,65,53,12,0.878930817610063,0.7086784827976732,0.6,0.5,0.5454545454545454,0.07547169811320754
manufacturer_2_sh,train,290,181,109,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
manufacturer_2_sh,validation,84,33,51,0.7754010695187166,0.9036159956957212,1.0,0.7647058823529411,0.8666666666666667,0.0
