threshold,validation_precision,validation_recall,validation_f1,validation_false_positive_rate,holdout_precision,holdout_recall,holdout_f1,holdout_false_positive_rate,precision_recall_gap_holdout
0.2,0.5023474178403756,0.7482517482517482,0.601123595505618,0.3680555555555556,0.40476190476190477,0.7906976744186046,0.5354330708661418,0.4672897196261682,0.38593576965669985
0.22,0.5323383084577115,0.7482517482517482,0.622093023255814,0.3263888888888889,0.42138364779874216,0.7790697674418605,0.5469387755102041,0.42990654205607476,0.35768611964311836
0.24,0.5631578947368421,0.7482517482517482,0.6426426426426426,0.2881944444444444,0.41830065359477125,0.7441860465116279,0.5355648535564853,0.4158878504672897,0.32588539291685664
0.26,0.5977653631284916,0.7482517482517482,0.6645962732919255,0.25,0.41379310344827586,0.6976744186046512,0.5194805194805194,0.397196261682243,0.2838813151563753
0.28,0.6294117647058823,0.7482517482517482,0.6837060702875399,0.21875,0.41843971631205673,0.686046511627907,0.5198237885462555,0.38317757009345793,0.26760679531585024
0.3,0.6524390243902439,0.7482517482517482,0.6970684039087948,0.19791666666666666,0.4351145038167939,0.6627906976744186,0.5253456221198156,0.34579439252336447,0.22767619385762466
0.32,0.66875,0.7482517482517482,0.7062706270627063,0.1840277777777778,0.45161290322580644,0.6511627906976745,0.5333333333333333,0.3177570093457944,0.19954988747186803
0.34,0.6772151898734177,0.7482517482517482,0.7109634551495017,0.17708333333333334,0.46153846153846156,0.627906976744186,0.5320197044334976,0.29439252336448596,0.1663685152057245
0.36,0.7086092715231788,0.7482517482517482,0.7278911564625851,0.1527777777777778,0.46846846846846846,0.6046511627906976,0.5279187817258884,0.2757009345794392,0.13618269432222918
0.38,0.7210884353741497,0.7412587412587412,0.7310344827586207,0.1423611111111111,0.4766355140186916,0.5930232558139535,0.5284974093264249,0.2616822429906542,0.11638774179526196
0.4,0.726027397260274,0.7412587412587412,0.7335640138408305,0.1388888888888889,0.494949494949495,0.5697674418604651,0.5297297297297298,0.2336448598130841,0.07481794691097016
0.42,0.7310344827586207,0.7412587412587412,0.7361111111111112,0.13541666666666666,0.5268817204301075,0.5697674418604651,0.547486033519553,0.205607476635514,0.042885721430357626
0.44,0.7375886524822695,0.7272727272727273,0.7323943661971831,0.1284722222222222,0.5476190476190477,0.5348837209302325,0.5411764705882353,0.17757009345794392,0.012735326688815163
0.46,0.7441860465116279,0.6713286713286714,0.7058823529411765,0.11458333333333333,0.5432098765432098,0.5116279069767442,0.5269461077844312,0.17289719626168223,0.03158196956646564
0.48,0.7642276422764228,0.6573426573426573,0.706766917293233,0.10069444444444445,0.5384615384615384,0.4883720930232558,0.5121951219512195,0.16822429906542055,0.05008944543828264
0.5,0.7833333333333333,0.6573426573426573,0.714828897338403,0.09027777777777778,0.5466666666666666,0.47674418604651164,0.5093167701863354,0.1588785046728972,0.06992248062015499
0.52,0.788135593220339,0.6503496503496503,0.7126436781609196,0.08680555555555555,0.5694444444444444,0.47674418604651164,0.5189873417721519,0.14485981308411214,0.09270025839793278
0.54,0.7931034482758621,0.6433566433566433,0.7104247104247104,0.08333333333333333,0.5857142857142857,0.47674418604651164,0.5256410256410257,0.13551401869158877,0.1089700996677741
0.56,0.7982456140350878,0.6363636363636364,0.708171206225681,0.0798611111111111,0.5797101449275363,0.46511627906976744,0.5161290322580645,0.13551401869158877,0.11459386585776882
0.58,0.8,0.6153846153846154,0.6956521739130435,0.0763888888888889,0.5645161290322581,0.4069767441860465,0.47297297297297297,0.1261682242990654,0.1575393848462116
0.6,0.822429906542056,0.6153846153846154,0.704,0.06597222222222222,0.5423728813559322,0.37209302325581395,0.4413793103448276,0.1261682242990654,0.17027985810011825
0.62,0.8207547169811321,0.6083916083916084,0.6987951807228916,0.06597222222222222,0.5660377358490566,0.3488372093023256,0.4316546762589928,0.10747663551401869,0.217200526546731
0.64,0.8285714285714286,0.6083916083916084,0.7016129032258065,0.0625,0.6041666666666666,0.3372093023255814,0.43283582089552236,0.08878504672897196,0.26695736434108525
0.66,0.8285714285714286,0.6083916083916084,0.7016129032258065,0.0625,0.6222222222222222,0.32558139534883723,0.42748091603053434,0.0794392523364486,0.296640826873385
0.68,0.8269230769230769,0.6013986013986014,0.6963562753036437,0.0625,0.6190476190476191,0.3023255813953488,0.40625,0.07476635514018691,0.31672203765227025
0.7,0.8775510204081632,0.6013986013986014,0.7136929460580913,0.041666666666666664,0.6578947368421053,0.29069767441860467,0.4032258064516129,0.06074766355140187,0.36719706242350064
0.72,0.8842105263157894,0.5874125874125874,0.7058823529411765,0.03819444444444445,0.6666666666666666,0.27906976744186046,0.39344262295081966,0.056074766355140186,0.38759689922480617
0.74,0.8936170212765957,0.5874125874125874,0.7088607594936709,0.034722222222222224,0.6666666666666666,0.27906976744186046,0.39344262295081966,0.056074766355140186,0.38759689922480617
0.76,0.8924731182795699,0.5804195804195804,0.7033898305084746,0.034722222222222224,0.6571428571428571,0.26744186046511625,0.38016528925619836,0.056074766355140186,0.3897009966777409
0.78,0.9418604651162791,0.5664335664335665,0.7074235807860262,0.017361111111111112,0.696969696969697,0.26744186046511625,0.3865546218487395,0.04672897196261682,0.42952783650458076
0.8,0.9390243902439024,0.5384615384615384,0.6844444444444444,0.017361111111111112,0.7857142857142857,0.2558139534883721,0.38596491228070173,0.028037383177570093,0.5299003322259136
