feature,importance,rank
s_hc1_supply_temperature__first,0,158
s_hc1_supply_temperature__last,0,159
row_count,0,160
s_hc1_supply_temperature__delta,0,161
p_net_supply_temperature__missing_rate,0,162
p_net_supply_temperature__missing_count,0,163
p_net_supply_temperature__delta,0,164
p_net_return_temperature__missing_rate,0,165
p_net_meter_volume__missing_rate,0,166
p_net_meter_volume__missing_count,0,167
p_net_meter_heat_power__missing_count,0,168
s_dhw_lower_storage_temperature__missing_count,0,169
timestamp_gap_count,0,170
s_hc1_supply_temperature_setpoint__missing_rate,0,171
s_hc1_supply_temperature_setpoint__delta,0,172
s_dhw_lower_storage_temperature__missing_rate,0,173
s_dhw_upper_storage_temperature__missing_rate,0,174
s_dhw_upper_storage_temperature__missing_count,0,175
s_dhw_supply_temperature_setpoint__first,0,176
s_dhw_supply_temperature_setpoint__delta,0,177
s_dhw_supply_temperature__delta,0,178
s_dhw_supply_temperature__missing_count,0,179
dhw_supply_temperature_gap__mean,0,180
s_dhw_supply_temperature__missing_rate,0,181
day_of_week,0,182
s_dhw_supply_temperature_setpoint__missing_rate,0,183
s_dhw_supply_temperature_setpoint__min,0,184
s_dhw_supply_temperature_setpoint__missing_count,0,185
is_weekend,0,186
hour_of_day,0,187
disturbance_count,0,188
maintenance_related,0,189
