variant,feature_count,holdout_roc_auc,holdout_average_precision,holdout_precision,holdout_recall,holdout_f1,holdout_false_positive_rate
no_cyclic_time,169,0.6597478808954577,0.521093960600253,0.4274193548387097,0.6162790697674418,0.5047619047619047,0.3317757009345794
no_event_days,184,0.6253531840904152,0.39731893590969636,0.39,0.45348837209302323,0.41935483870967744,0.2850467289719626
full_v3,185,0.6198652466855031,0.39436236369838,0.375,0.4186046511627907,0.3956043956043956,0.2803738317757009
stabilization_filtered_eval,185,0.6198652466855031,0.39436236369838,0.375,0.4186046511627907,0.3956043956043956,0.2803738317757009
no_control_onehot,153,0.603075418387307,0.3621607753866871,0.37349397590361444,0.36046511627906974,0.3668639053254438,0.24299065420560748
