feature_family,feature_count,total_gain_importance,total_split_importance,mean_holdout_permutation,positive_holdout_feature_count
event_context,3,7476.9021717906,385,0.022347907839837547,3
cyclic_time,6,2261.8770490288734,243,0.010108374050919378,2
context,3,785.7093303799629,74,0.009792379424924535,1
derived_one_hot,44,971.0543968677521,103,0.0015474467782002612,8
time_context,6,1584.5680438280106,132,0.0009648899083730382,1
sensor_numeric,127,14564.697160385549,1162,0.0005826227295206502,37
