feature,gain_importance,split_importance,feature_family,gain_rank,split_rank,train_permutation_mean,train_permutation_std,validation_permutation_mean,validation_permutation_std,holdout_permutation_mean,holdout_permutation_std,train_holdout_gap,validation_holdout_gap,drift_flag
p_net_supply_temperature__missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
row_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_supply_temperature__delta,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_supply_temperature__first,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_supply_temperature__last,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_supply_temperature_setpoint__missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
timestamp_gap_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_hc1_supply_temperature_setpoint__delta,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_lower_storage_temperature__missing_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_lower_storage_temperature__missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_upper_storage_temperature__missing_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_upper_storage_temperature__missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_supply_temperature__delta,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_supply_temperature__missing_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_supply_temperature__missing_rate,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
dhw_supply_temperature_gap__mean,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_supply_temperature_setpoint__delta,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_supply_temperature_setpoint__first,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_supply_temperature_setpoint__min,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
s_dhw_supply_temperature_setpoint__missing_count,0.0,0,sensor_numeric,109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
