group_name,group_value,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision_high_or_critical,recall_high_or_critical,f1_high_or_critical,false_positive_rate_high_or_critical
split_event_regime_based,train,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
split_event_regime_based,validation,431,288,143,0.7785547785547786,0.7919356185632367,0.7375886524822695,0.7272727272727273,0.7323943661971831,0.1284722222222222
split_event_regime_based,holdout,300,214,86,0.7627689632688546,0.6196530346996173,0.5476190476190477,0.5348837209302325,0.5411764705882353,0.17757009345794392
split_event_based,train,1642,1235,407,1.0,1.0,0.9667458432304038,1.0,0.9830917874396136,0.011336032388663968
split_event_based,validation,383,240,143,0.7991841491841493,0.8396939886704888,0.9043478260869565,0.7272727272727273,0.8062015503875969,0.04583333333333333
split_event_based,holdout,337,251,86,0.7723524506624665,0.5814290677907958,0.4791666666666667,0.5348837209302325,0.5054945054945055,0.199203187250996
split_regime_based,train,1668,1224,444,0.9906192957663547,0.9845225602016111,1.0,0.8761261261261262,0.9339735894357744,0.0
split_regime_based,validation,382,288,94,0.9703014184397163,0.9386746821662957,0.6991869918699187,0.9148936170212766,0.7926267281105991,0.1284722222222222
split_regime_based,holdout,312,214,98,0.8605283234789242,0.8669277105103517,0.6833333333333333,0.8367346938775511,0.7522935779816514,0.17757009345794392
split_time_based,train,1652,1235,417,0.9963261779240575,0.9918341249629627,0.9660194174757282,0.9544364508393285,0.9601930036188179,0.011336032388663968
split_time_based,validation,344,240,104,0.7831730769230769,0.8100158674348296,0.8690476190476191,0.7019230769230769,0.776595744680851,0.04583333333333333
split_time_based,holdout,366,251,115,0.86208210635718,0.8010823286604871,0.6323529411764706,0.7478260869565218,0.6852589641434262,0.199203187250996
split_substation_based,train,1867,1339,528,0.9827282345486229,0.9688220202806151,0.8903345724907064,0.9071969696969697,0.8986866791744841,0.044062733383121735
split_substation_based,validation,242,196,46,0.8452750665483585,0.8210215452564692,0.7142857142857143,0.7608695652173914,0.7368421052631579,0.07142857142857142
split_substation_based,holdout,253,191,62,0.8946968417497045,0.8451121004156802,0.9555555555555556,0.6935483870967742,0.8037383177570093,0.010471204188481676
lead_time_bucket_vs_normal,0-6h,1779,1726,53,0.9685498152561273,0.839193684988578,0.38016528925619836,0.8679245283018868,0.5287356321839081,0.043453070683661645
lead_time_bucket_vs_normal,6-24h,1884,1726,158,0.9636864338413248,0.8842167078542262,0.6462264150943396,0.8670886075949367,0.7405405405405405,0.043453070683661645
lead_time_bucket_vs_normal,1-3d,2082,1726,356,0.966384899813819,0.9216046060948568,0.8026315789473685,0.8567415730337079,0.8288043478260869,0.043453070683661645
lead_time_bucket_vs_normal,3-7d,1795,1726,69,0.9996977177691573,0.9922843470899041,0.4791666666666667,1.0,0.647887323943662,0.043453070683661645
