tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,current_best_weight,m1_specialist_weight,split,high_threshold,urgent_threshold,operating_score
46,2,31,104,0.958333333333,0.597402597403,0.736,0.0188679245283,8,7,0.875,0.65,0.35,holdout,62.5,77.5,0.901566037736
62,0,156,682,1,0.284403669725,0.442857142857,0,21,11,0.52380952381,0.65,0.35,train,62.5,77.5,0.547619047619
3,15,23,128,0.166666666667,0.115384615385,0.136363636364,0.104895104895,3,1,0.333333333333,0.65,0.35,validation,62.5,77.5,0.150582750583
46,1,31,105,0.978723404255,0.597402597403,0.741935483871,0.00943396226415,8,7,0.875,0.72,0.28,holdout,62.5,77.5,0.912218502739
63,0,155,682,1,0.288990825688,0.448398576512,0,21,10,0.47619047619,0.72,0.28,train,62.5,77.5,0.543636671751
3,14,23,129,0.176470588235,0.115384615385,0.139534883721,0.0979020979021,3,1,0.333333333333,0.72,0.28,validation,62.5,77.5,0.157250501437
43,1,34,105,0.977272727273,0.558441558442,0.710743801653,0.00943396226415,8,7,0.875,0.9,0.1,holdout,67.5,82.5,0.881026820521
61,0,157,682,1,0.279816513761,0.437275985663,0,21,8,0.380952380952,0.9,0.1,train,67.5,82.5,0.513466461854
3,9,23,134,0.25,0.115384615385,0.157894736842,0.0629370629371,3,1,0.333333333333,0.9,0.1,validation,67.5,82.5,0.19309287204
