tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,split,iforest_ratio_threshold,mahalanobis_ratio_threshold
66,4,152,678,0.9428571428571428,0.30275229357798167,0.45833333333333337,0.005865102639296188,21,13,0.6190476190476191,train,0.8,1.15
3,59,23,84,0.04838709677419355,0.11538461538461539,0.06818181818181818,0.4125874125874126,3,1,0.3333333333333333,validation,0.8,1.15
42,24,35,82,0.6363636363636364,0.5454545454545454,0.5874125874125874,0.22641509433962265,8,6,0.75,holdout,0.8,1.2
65,4,153,678,0.9420289855072463,0.2981651376146789,0.45296167247386754,0.005865102639296188,21,13,0.6190476190476191,train,0.8,1.2
3,56,23,87,0.05084745762711865,0.11538461538461539,0.07058823529411766,0.3916083916083916,3,1,0.3333333333333333,validation,0.8,1.2
42,23,35,83,0.6461538461538462,0.5454545454545454,0.5915492957746479,0.2169811320754717,8,6,0.75,holdout,0.8,1.25
63,4,155,678,0.9402985074626866,0.2889908256880734,0.4421052631578948,0.005865102639296188,21,12,0.5714285714285714,train,0.8,1.25
3,50,23,93,0.05660377358490566,0.11538461538461539,0.07594936708860758,0.34965034965034963,3,1,0.3333333333333333,validation,0.8,1.25
41,23,36,83,0.640625,0.5324675324675324,0.5815602836879432,0.2169811320754717,8,6,0.75,holdout,0.8,1.3
62,3,156,679,0.9538461538461539,0.28440366972477066,0.4381625441696113,0.004398826979472141,21,12,0.5714285714285714,train,0.8,1.3
3,36,23,107,0.07692307692307693,0.11538461538461539,0.0923076923076923,0.2517482517482518,3,1,0.3333333333333333,validation,0.8,1.3
42,21,35,85,0.6666666666666666,0.5454545454545454,0.6,0.19811320754716982,8,6,0.75,holdout,0.85,0.8
72,12,146,670,0.8571428571428571,0.3302752293577982,0.4768211920529802,0.017595307917888565,21,11,0.5238095238095238,train,0.85,0.8
3,60,23,83,0.047619047619047616,0.11538461538461539,0.06741573033707865,0.4195804195804196,3,1,0.3333333333333333,validation,0.85,0.8
42,21,35,85,0.6666666666666666,0.5454545454545454,0.6,0.19811320754716982,8,6,0.75,holdout,0.85,0.85
