component_group,mean,median,p95,max
Risk,11.183622286654641,1.9870468458371804,44.76272784501738,46.0
Leadtime,12.111461542710034,10.677234768537778,16.473610622751373,16.49409216062322
Anomaly,2.519028478123559,0.0,22.741424120238626,33.0
Other,0.19412724306688417,0.0,0.0,8.0
