gate,probability_column,target_definition,threshold,split,tp,fp,fn,tn,precision,recall,f1,false_positive_rate,balanced_accuracy,positive_rate,target_positive_count,native_label_available
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.3,holdout,73,89,4,17,0.450617283951,0.948051948052,0.610878661088,0.839622641509,0.554214653271,0.885245901639,77,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.3,train,179,584,16,98,0.234600262123,0.917948717949,0.37369519833,0.856304985337,0.530821866306,0.870011402509,195,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.3,validation,22,130,1,13,0.144736842105,0.95652173913,0.251428571429,0.909090909091,0.52371541502,0.915662650602,23,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.35,holdout,71,80,6,26,0.470198675497,0.922077922078,0.622807017544,0.754716981132,0.583680470473,0.825136612022,77,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.35,train,165,537,30,145,0.235042735043,0.846153846154,0.367892976589,0.787390029326,0.529381908414,0.800456100342,195,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.35,validation,22,124,1,19,0.150684931507,0.95652173913,0.260355029586,0.867132867133,0.544694435999,0.879518072289,23,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.4,holdout,66,74,11,32,0.471428571429,0.857142857143,0.608294930876,0.698113207547,0.579514824798,0.765027322404,77,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.4,train,158,485,37,197,0.245723172628,0.810256410256,0.377088305489,0.711143695015,0.549556357621,0.733181299886,195,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.4,validation,22,117,1,26,0.158273381295,0.95652173913,0.271604938272,0.818181818182,0.569169960474,0.83734939759,23,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.45,holdout,58,66,19,40,0.467741935484,0.753246753247,0.577114427861,0.622641509434,0.565302621906,0.677595628415,77,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.45,train,136,421,59,261,0.244165170557,0.697435897436,0.36170212766,0.617302052786,0.540066922325,0.63511972634,195,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.45,validation,21,104,2,39,0.168,0.913043478261,0.283783783784,0.727272727273,0.592885375494,0.753012048193,23,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.5,holdout,52,59,25,47,0.468468468468,0.675324675325,0.553191489362,0.556603773585,0.55936045087,0.606557377049,77,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.5,train,115,362,80,320,0.241090146751,0.589743589744,0.342261904762,0.530791788856,0.529475900444,0.543899657925,195,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.5,validation,20,91,3,52,0.18018018018,0.869565217391,0.298507462687,0.636363636364,0.616600790514,0.668674698795,23,True
fault_gate,m1_specialist_fault_probability,pre_fault_proxy,0.55,holdout,39,52,38,54,0.428571428571,0.506493506494,0.464285714286,0.490566037736,0.507963734379,0.497267759563,77,True
