tp,fp,fn,tn,precision,recall,f1,false_positive_rate,fault_events,detected_fault_events,fault_event_recall,top10_precision,top10_recall,top20_precision,top20_recall,top30_precision,top30_recall,variant,split,high_threshold,urgent_threshold,w_pre_event,w_leadtime,w_group
56,0,21,106,1,0.727272727273,0.842105263158,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.05_0.20_0.75,holdout,52.5,67.5,0.05,0.2,0.75
177,0,18,682,1,0.907692307692,0.951612903226,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.20_0.75,train,52.5,67.5,0.05,0.2,0.75
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.05_0.20_0.75,validation,52.5,67.5,0.05,0.2,0.75
53,0,24,106,1,0.688311688312,0.815384615385,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.05_0.25_0.70,holdout,55,70,0.05,0.25,0.7
171,0,24,682,1,0.876923076923,0.934426229508,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.25_0.70,train,55,70,0.05,0.25,0.7
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.05_0.25_0.70,validation,55,70,0.05,0.25,0.7
54,0,23,106,1,0.701298701299,0.824427480916,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.05_0.30_0.65,holdout,55,70,0.05,0.3,0.65
174,0,21,682,1,0.892307692308,0.943089430894,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.30_0.65,train,55,70,0.05,0.3,0.65
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.05_0.30_0.65,validation,55,70,0.05,0.3,0.65
54,0,23,106,1,0.701298701299,0.824427480916,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.05_0.35_0.60,holdout,55,70,0.05,0.35,0.6
176,0,19,682,1,0.902564102564,0.948787061995,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.35_0.60,train,55,70,0.05,0.35,0.6
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.05_0.35_0.60,validation,55,70,0.05,0.35,0.6
56,0,21,106,1,0.727272727273,0.842105263158,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.05_0.40_0.55,holdout,55,70,0.05,0.4,0.55
177,0,18,682,1,0.907692307692,0.951612903226,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.40_0.55,train,55,70,0.05,0.4,0.55
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.05_0.40_0.55,validation,55,70,0.05,0.4,0.55
54,0,23,106,1,0.701298701299,0.824427480916,0,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.05_0.45_0.50,holdout,57.5,72.5,0.05,0.45,0.5
158,0,37,682,1,0.810256410256,0.895184135977,0,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.45_0.50,train,57.5,72.5,0.05,0.45,0.5
23,0,0,143,1,1,1,0,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.05_0.45_0.50,validation,57.5,72.5,0.05,0.45,0.5
56,5,21,101,0.918032786885,0.727272727273,0.811594202899,0.0471698113208,8,8,1,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.05_0.50_0.45,holdout,57.5,72.5,0.05,0.5,0.45
162,27,33,655,0.857142857143,0.830769230769,0.84375,0.0395894428152,18,18,1,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.50_0.45,train,57.5,72.5,0.05,0.5,0.45
23,5,0,138,0.821428571429,1,0.901960784314,0.034965034965,2,2,1,1,0.434782608696,1,0.869565217391,0.766666666667,1,grid_0.05_0.50_0.45,validation,57.5,72.5,0.05,0.5,0.45
57,12,20,94,0.826086956522,0.74025974026,0.780821917808,0.11320754717,8,8,1,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.05_0.55_0.40,holdout,60,75,0.05,0.55,0.4
156,66,39,616,0.702702702703,0.8,0.748201438849,0.0967741935484,18,18,1,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.55_0.40,train,60,75,0.05,0.55,0.4
22,16,1,127,0.578947368421,0.95652173913,0.72131147541,0.111888111888,2,2,1,1,0.434782608696,0.85,0.739130434783,0.666666666667,0.869565217391,grid_0.05_0.55_0.40,validation,60,75,0.05,0.55,0.4
30,0,47,106,1,0.38961038961,0.560747663551,0,8,6,0.75,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.05_0.60_0.35,holdout,75,90,0.05,0.6,0.35
126,0,69,682,1,0.646153846154,0.785046728972,0,18,16,0.888888888889,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.60_0.35,train,75,90,0.05,0.6,0.35
15,0,8,143,1,0.652173913043,0.789473684211,0,2,2,1,1,0.434782608696,0.75,0.652173913043,0.5,0.652173913043,grid_0.05_0.60_0.35,validation,75,90,0.05,0.6,0.35
41,1,36,105,0.97619047619,0.532467532468,0.689075630252,0.00943396226415,8,7,0.875,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.05_0.65_0.30,holdout,72.5,87.5,0.05,0.65,0.3
127,1,68,681,0.9921875,0.651282051282,0.786377708978,0.00146627565982,18,16,0.888888888889,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.65_0.30,train,72.5,87.5,0.05,0.65,0.3
15,0,8,143,1,0.652173913043,0.789473684211,0,2,2,1,1,0.434782608696,0.75,0.652173913043,0.5,0.652173913043,grid_0.05_0.65_0.30,validation,72.5,87.5,0.05,0.65,0.3
41,15,36,91,0.732142857143,0.532467532468,0.616541353383,0.141509433962,8,8,1,1,0.12987012987,1,0.25974025974,1,0.38961038961,grid_0.05_0.70_0.25,holdout,72.5,87.5,0.05,0.7,0.25
120,77,75,605,0.609137055838,0.615384615385,0.612244897959,0.112903225806,18,17,0.944444444444,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.70_0.25,train,72.5,87.5,0.05,0.7,0.25
15,21,8,122,0.416666666667,0.652173913043,0.508474576271,0.146853146853,2,2,1,0.8,0.347826086957,0.6,0.521739130435,0.5,0.652173913043,grid_0.05_0.70_0.25,validation,72.5,87.5,0.05,0.7,0.25
17,0,60,106,1,0.220779220779,0.36170212766,0,8,5,0.625,1,0.12987012987,1,0.25974025974,0.933333333333,0.363636363636,grid_0.05_0.75_0.20,holdout,85,95,0.05,0.75,0.2
68,0,127,682,1,0.348717948718,0.51711026616,0,18,14,0.777777777778,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.75_0.20,train,85,95,0.05,0.75,0.2
8,0,15,143,1,0.347826086957,0.516129032258,0,2,2,1,0.8,0.347826086957,0.4,0.347826086957,0.266666666667,0.347826086957,grid_0.05_0.75_0.20,validation,85,95,0.05,0.75,0.2
16,0,61,106,1,0.207792207792,0.344086021505,0,8,5,0.625,1,0.12987012987,0.95,0.246753246753,0.833333333333,0.324675324675,grid_0.05_0.80_0.15,holdout,87.5,95,0.05,0.8,0.15
59,0,136,682,1,0.302564102564,0.464566929134,0,18,13,0.722222222222,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.80_0.15,train,87.5,95,0.05,0.8,0.15
8,0,15,143,1,0.347826086957,0.516129032258,0,2,2,1,0.8,0.347826086957,0.4,0.347826086957,0.266666666667,0.347826086957,grid_0.05_0.80_0.15,validation,87.5,95,0.05,0.8,0.15
17,1,60,105,0.944444444444,0.220779220779,0.357894736842,0.00943396226415,8,5,0.625,1,0.12987012987,0.9,0.233766233766,0.733333333333,0.285714285714,grid_0.05_0.85_0.10,holdout,90,95,0.05,0.85,0.1
59,2,136,680,0.967213114754,0.302564102564,0.4609375,0.00293255131965,18,14,0.777777777778,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.85_0.10,train,90,95,0.05,0.85,0.1
8,0,15,143,1,0.347826086957,0.516129032258,0,2,2,1,0.8,0.347826086957,0.4,0.347826086957,0.266666666667,0.347826086957,grid_0.05_0.85_0.10,validation,90,95,0.05,0.85,0.1
17,5,60,101,0.772727272727,0.220779220779,0.343434343434,0.0471698113208,8,6,0.75,0.9,0.116883116883,0.75,0.194805194805,0.733333333333,0.285714285714,grid_0.05_0.90_0.05,holdout,92.5,95,0.05,0.9,0.05
55,27,140,655,0.670731707317,0.282051282051,0.397111913357,0.0395894428152,18,14,0.777777777778,1,0.0512820512821,1,0.102564102564,1,0.153846153846,grid_0.05_0.90_0.05,train,92.5,95,0.05,0.9,0.05
8,6,15,137,0.571428571429,0.347826086957,0.432432432432,0.041958041958,2,2,1,0.7,0.304347826087,0.4,0.347826086957,0.266666666667,0.347826086957,grid_0.05_0.90_0.05,validation,92.5,95,0.05,0.9,0.05
19,8,58,98,0.703703703704,0.246753246753,0.365384615385,0.0754716981132,8,6,0.75,0.6,0.0779220779221,0.75,0.194805194805,0.633333333333,0.246753246753,grid_0.05_0.95_0.00,holdout,95,95,0.05,0.95,0
45,58,150,624,0.436893203883,0.230769230769,0.302013422819,0.0850439882698,18,13,0.722222222222,0.8,0.0410256410256,0.7,0.0717948717949,0.633333333333,0.0974358974359,grid_0.05_0.95_0.00,train,95,95,0.05,0.95,0
