m1_specialist_fault_group,rows,pre_fault_rows,normal_rows,fault_events,group_weight,mean_pre_event,mean_leadtime_urgency,mean_current_best_priority,mean_m1_specialist_priority,mean_risk_score,pre_fault_rate
control_controller,145,145,0,13,1.0,0.5080627997732481,0.7212767398220726,75.37078620689654,64.58175618219083,0.859397924932495,1.0
pump_failure,54,54,0,5,0.636043,0.6570612634976201,0.7115253034700375,81.05391851851853,67.02477359647024,0.9528395379789943,1.0
valve_actuator,10,10,0,2,0.580894,0.5656311800915887,0.770484088706229,74.61309,62.93764756622424,0.9092419916267014,1.0
pressure_regulator,27,27,0,3,0.521702,0.5766924822949727,0.7888390870478633,89.97344074074074,63.20878913765941,0.9975830205422171,1.0
leakage_water_loss,36,36,0,3,0.444043,0.6606379626314407,0.8458902451592971,96.60683611111112,68.37244029950816,0.9927304604045109,1.0
unknown_review,954,23,931,2,0.1,0.48704954761947916,0.8381421157192468,24.4419392033543,53.431988590648764,0.14039511348276418,0.02410901467505241
