policy,split,metric_scope,row_count,precision,recall,false_positive_rate,tp,fp,fn,tn,mean_score,pre_event_threshold,leadtime_threshold,fault_events,detected_fault_events,fault_event_recall,selected_official_v3,f1
pre_0.950_or_lead_0.990,validation,row,169,0.4,0.230769230769,0.0629370629371,6,9,20,134,80.4529583172,0.95,0.99,3,2,0.666666666667,False,0.292682926829
pre_0.950_or_lead_0.990,holdout,row,183,0.659574468085,0.402597402597,0.150943396226,31,16,46,90,83.2953408182,0.95,0.99,8,4,0.5,False,0.5
pre_0.955_or_lead_0.940,train,row,900,0.282894736842,0.197247706422,0.159824046921,43,109,175,573,84.4993126771,0.955,0.94,21,14,0.666666666667,False,0.232432432432
pre_0.955_or_lead_0.940,validation,row,169,0.222222222222,0.153846153846,0.0979020979021,4,14,22,129,84.5364965153,0.955,0.94,3,1,0.333333333333,False,0.181818181818
pre_0.955_or_lead_0.940,holdout,row,183,0.714285714286,0.519480519481,0.150943396226,40,16,37,90,86.6738058411,0.955,0.94,8,6,0.75,False,0.601503759398
pre_0.955_or_lead_0.945,train,row,900,0.283783783784,0.192660550459,0.155425219941,42,106,176,576,84.1300552679,0.955,0.945,21,14,0.666666666667,False,0.229508196721
pre_0.955_or_lead_0.945,validation,row,169,0.25,0.153846153846,0.0839160839161,4,12,22,131,84.1519516604,0.955,0.945,3,1,0.333333333333,False,0.190476190476
pre_0.955_or_lead_0.945,holdout,row,183,0.714285714286,0.519480519481,0.150943396226,40,16,37,90,86.3620299107,0.955,0.945,8,6,0.75,False,0.601503759398
pre_0.955_or_lead_0.950,train,row,900,0.27972027972,0.183486238532,0.151026392962,40,103,178,579,83.7615321674,0.955,0.95,21,13,0.619047619048,False,0.221606648199
pre_0.955_or_lead_0.950,validation,row,169,0.266666666667,0.153846153846,0.0769230769231,4,11,22,132,83.7702948557,0.955,0.95,3,1,0.333333333333,False,0.19512195122
pre_0.955_or_lead_0.950,holdout,row,183,0.727272727273,0.519480519481,0.141509433962,40,15,37,91,86.0478222604,0.955,0.95,8,6,0.75,False,0.606060606061
pre_0.955_or_lead_0.955,train,row,900,0.272058823529,0.169724770642,0.145161290323,37,99,181,583,83.3945607533,0.955,0.955,21,12,0.571428571429,False,0.209039548023
pre_0.955_or_lead_0.955,validation,row,169,0.285714285714,0.153846153846,0.0699300699301,4,10,22,133,83.3886380509,0.955,0.955,3,1,0.333333333333,False,0.2
pre_0.955_or_lead_0.955,holdout,row,183,0.722222222222,0.506493506494,0.141509433962,39,15,38,91,85.7343819798,0.955,0.955,8,6,0.75,False,0.595419847328
pre_0.955_or_lead_0.960,train,row,900,0.270676691729,0.165137614679,0.142228739003,36,97,182,585,83.0304080383,0.955,0.96,21,12,0.571428571429,False,0.205128205128
pre_0.955_or_lead_0.960,validation,row,169,0.307692307692,0.153846153846,0.0629370629371,4,9,22,134,83.0105744374,0.955,0.96,3,1,0.333333333333,False,0.205128205128
pre_0.955_or_lead_0.960,holdout,row,183,0.722222222222,0.506493506494,0.141509433962,39,15,38,91,85.42290657,0.955,0.96,8,6,0.75,False,0.595419847328
pre_0.955_or_lead_0.965,train,row,900,0.269841269841,0.155963302752,0.134897360704,34,92,184,590,82.669355593,0.955,0.965,21,12,0.571428571429,False,0.197674418605
pre_0.955_or_lead_0.965,validation,row,169,0.333333333333,0.153846153846,0.0559440559441,4,8,22,135,82.6377933723,0.955,0.965,3,1,0.333333333333,False,0.210526315789
pre_0.955_or_lead_0.965,holdout,row,183,0.7,0.454545454545,0.141509433962,35,15,42,91,85.1150945971,0.955,0.965,8,6,0.75,False,0.551181102362
pre_0.955_or_lead_0.970,train,row,900,0.270491803279,0.151376146789,0.130498533724,33,89,185,593,82.3100980144,0.955,0.97,21,12,0.571428571429,False,0.194117647059
pre_0.955_or_lead_0.970,validation,row,169,0.333333333333,0.153846153846,0.0559440559441,4,8,22,135,82.2650123072,0.955,0.97,3,1,0.333333333333,False,0.210526315789
pre_0.955_or_lead_0.970,holdout,row,183,0.7,0.454545454545,0.141509433962,35,15,42,91,84.8096896862,0.955,0.97,8,6,0.75,False,0.551181102362
pre_0.955_or_lead_0.975,train,row,900,0.26724137931,0.142201834862,0.124633431085,31,85,187,597,81.9527687695,0.955,0.975,21,12,0.571428571429,False,0.185628742515
pre_0.955_or_lead_0.975,validation,row,169,0.333333333333,0.153846153846,0.0559440559441,4,8,22,135,81.8935977756,0.955,0.975,3,1,0.333333333333,False,0.210526315789
pre_0.955_or_lead_0.975,holdout,row,183,0.68085106383,0.415584415584,0.141509433962,32,15,45,91,84.5064109977,0.955,0.975,8,4,0.5,False,0.516129032258
pre_0.955_or_lead_0.980,train,row,900,0.269565217391,0.142201834862,0.123167155425,31,84,187,598,81.5966632144,0.955,0.98,21,12,0.571428571429,False,0.186186186186
