component,model_path,model_type,training_dataset_id,feature_set,feature_count,threshold,training_rows,positive_rows,normal_rows,joblib_sha256,source_commit_hash
fault_gate,models/m1_specialist/m1_fault_gate_rf_depth3.joblib,RandomForestClassifier_depth3,fault_no_overlap,compact13,13,0.5,90,55,35,fa64f0efd44a4aa17afcead3f8e66ba05e89f812cc5a3ebe0c6d108cb8e5ebce,4fd5a526c8e84f6aec3d293c070a44b1580393a6
task_gate,models/m1_specialist/m1_task_gate_rf_depth3.joblib,RandomForestClassifier_depth3,task_post_1d,compact13,13,0.5,77,42,35,83eddf94ac1977474cdb10747a0315300bd7da4a0cd714f187b3a8d4c22a559d,4fd5a526c8e84f6aec3d293c070a44b1580393a6
activity_gate,models/m1_specialist/m1_activity_gate_rf_depth3.joblib,RandomForestClassifier_depth3,activity_pre_1d,compact13,13,0.5,82,47,35,36b25aa942af9849252e243a5de2a7dafaddeed1ecbe027f3cc2d5bee7cf702b,4fd5a526c8e84f6aec3d293c070a44b1580393a6
fault_pre_event_gate,models/m1_specialist/m1_fault_pre_event_logistic.joblib,LogisticRegression_balanced,expanded_compact13_full_pool,compact13_overlap,13,0.6,131,26,105,bcdd4ee7b38179592ef6fef520facdb0a796dc60886e1d1fbd41968349668631,4fd5a526c8e84f6aec3d293c070a44b1580393a6
