candidate_id,split,n_estimators,max_samples,max_features,bootstrap,threshold_quantile,threshold_value,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
1,validation,800,0.8,0.9,True,0.85,0.4910030746505854,0.6394854237991493,0.45432234593806453,0.5454545454545454,0.10084033613445378,0.1702127659574468,0.0411522633744856,22,12,10,119,362
1,holdout,800,0.8,0.9,True,0.85,0.4910030746505854,0.6973756229654597,0.6663582503089082,0.7636363636363637,0.3157894736842105,0.44680851063829785,0.04980842911877394,55,42,13,133,394
2,validation,200,0.8,0.65,False,0.95,0.4934242354315011,0.631981187536743,0.4422264656295751,1.0,0.01680672268907563,0.03305785123966942,0.0,2,2,0,119,362
2,holdout,200,0.8,0.65,False,0.95,0.4934242354315011,0.7117506409702417,0.7007962264156072,0.9166666666666666,0.24812030075187969,0.3905325443786982,0.011494252873563218,36,33,3,133,394
3,validation,200,auto,0.9,True,0.9,0.500752629653237,0.6264135283743126,0.4344282511459643,0.0,0.0,0.0,0.0,0,0,0,119,362
3,holdout,200,auto,0.9,True,0.9,0.500752629653237,0.6961945092616598,0.6374582374622375,1.0,0.18796992481203006,0.31645569620253167,0.0,25,25,0,133,394
4,validation,300,0.8,0.5,False,0.92,0.4825278851733887,0.6333644568938687,0.4350546128602466,0.5,0.025210084033613446,0.048,0.012345679012345678,6,3,3,119,362
4,holdout,300,0.8,0.5,False,0.92,0.4825278851733887,0.7114337568058074,0.6982943835616686,0.9024390243902439,0.2781954887218045,0.42528735632183906,0.01532567049808429,41,37,4,133,394
5,validation,300,0.65,0.5,True,0.95,0.5199631781617308,0.6152090465815956,0.47399082325323605,0.0,0.0,0.0,0.0,0,0,0,119,362
5,holdout,300,0.65,0.5,True,0.95,0.5199631781617308,0.7182323625154841,0.6843140737826082,1.0,0.19548872180451127,0.3270440251572327,0.0,26,26,0,133,394
6,validation,300,0.5,0.75,True,0.9,0.4979968466420527,0.6477850399419027,0.4475845110543935,0.5555555555555556,0.04201680672268908,0.078125,0.01646090534979424,9,5,4,119,362
6,holdout,300,0.5,0.75,True,0.9,0.4979968466420527,0.7002851957479906,0.6605069160996759,0.8947368421052632,0.2556390977443609,0.39766081871345027,0.01532567049808429,38,34,4,133,394
7,validation,200,1.0,0.5,False,0.98,0.5098507776840608,0.6115088010512847,0.4524090051356186,0.0,0.0,0.0,0.0,0,0,0,119,362
7,holdout,200,1.0,0.5,False,0.98,0.5098507776840608,0.7077463774378474,0.6877781957193018,1.0,0.16541353383458646,0.2838709677419355,0.0,22,22,0,133,394
8,validation,200,0.65,1.0,True,0.99,0.5553508523479176,0.6660441954559602,0.46289063872976904,0.0,0.0,0.0,0.0,0,0,0,119,362
8,holdout,200,0.65,1.0,True,0.99,0.5553508523479176,0.7025033848990292,0.6601435320508678,1.0,0.12781954887218044,0.22666666666666666,0.0,17,17,0,133,394
9,validation,800,1.0,0.9,True,0.99,0.5527762288090786,0.6619635508524397,0.47952815566339624,0.0,0.0,0.0,0.0,0,0,0,119,362
9,holdout,800,1.0,0.9,True,0.99,0.5527762288090786,0.7110304496874369,0.6852662628820988,1.0,0.15037593984962405,0.26143790849673204,0.0,20,20,0,133,394
