variant,threshold,rows,positives,predicted_positive,precision,recall,f1,false_positive_rate,false_positive_count,true_positive_count,mae_to_proxy_target,top10_prefault_coverage,top20_prefault_coverage,top50_prefault_coverage,score_mean,score_p95
v3_lgbm_leak_diagnostic_fpr0,69.0,300,86,86,1.0,1.0,1.0,0.0,0,86,1.4555711882400542,0.11627906976744186,0.23255813953488372,0.5813953488372093,20.38709124205697,70.23904921717767
v2_threshold48,48.0,300,86,44,1.0,0.5116279069767442,0.676923076923077,0.0,0,44,21.62368233333333,0.11627906976744186,0.23255813953488372,0.5116279069767442,26.151383666666668,68.13536500000001
risk_gated_urgency_x8,52.0,300,86,44,1.0,0.5116279069767442,0.676923076923077,0.0,0,44,21.380674531753296,0.11627906976744186,0.23255813953488372,0.5116279069767442,26.802727075545537,70.97898870444591
v3_lgbm_guarded_fpr0,74.0,300,86,21,1.0,0.2441860465116279,0.3925233644859813,0.0,0,21,25.435928403982075,0.11627906976744186,0.23255813953488372,0.3023255813953488,29.032018190810117,76.30017197763691
v3_lgbm_guarded_fpr1pct,74.0,300,86,21,1.0,0.2441860465116279,0.3925233644859813,0.0,0,21,25.435928403982075,0.11627906976744186,0.23255813953488372,0.3023255813953488,29.032018190810117,76.30017197763691
v3_lgbm_guarded_fpr5pct,74.0,300,86,21,1.0,0.2441860465116279,0.3925233644859813,0.0,0,21,25.435928403982075,0.11627906976744186,0.23255813953488372,0.3023255813953488,29.032018190810117,76.30017197763691
