model,split,candidate_id,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
risk_lgbm,validation,1,100,0.03,7,3,30,0.8,0.8,0.1,1.0,balanced,0.7639010295260296,0.7494001287510945,0.43448275862068964,0.4405594405594406,0.4375,0.2847222222222222,145,63,82,143,431
risk_lgbm,holdout,1,100,0.03,7,3,30,0.8,0.8,0.1,1.0,balanced,0.4899478374266464,0.2778078901743149,0.2898550724637681,0.23255813953488372,0.25806451612903225,0.22897196261682243,69,20,49,86,300
risk_lgbm,validation,2,100,0.03,7,3,30,0.8,0.9,0.1,1.0,balanced,0.7624320124320124,0.759382267385807,0.4161073825503356,0.43356643356643354,0.4246575342465753,0.3020833333333333,149,62,87,143,431
risk_lgbm,holdout,2,100,0.03,7,3,30,0.8,0.9,0.1,1.0,balanced,0.4758204738100413,0.2776379459895943,0.2857142857142857,0.23255813953488372,0.2564102564102564,0.2336448598130841,70,20,50,86,300
risk_lgbm,validation,3,100,0.03,7,3,30,0.9,0.8,0.1,1.0,balanced,0.7639010295260296,0.7494001287510945,0.43448275862068964,0.4405594405594406,0.4375,0.2847222222222222,145,63,82,143,431
risk_lgbm,holdout,3,100,0.03,7,3,30,0.9,0.8,0.1,1.0,balanced,0.4899478374266464,0.2778078901743149,0.2898550724637681,0.23255813953488372,0.25806451612903225,0.22897196261682243,69,20,49,86,300
risk_lgbm,validation,4,100,0.03,7,3,30,0.9,0.9,0.1,1.0,balanced,0.7624320124320124,0.759382267385807,0.4161073825503356,0.43356643356643354,0.4246575342465753,0.3020833333333333,149,62,87,143,431
risk_lgbm,holdout,4,100,0.03,7,3,30,0.9,0.9,0.1,1.0,balanced,0.4758204738100413,0.2776379459895943,0.2857142857142857,0.23255813953488372,0.2564102564102564,0.2336448598130841,70,20,50,86,300
risk_lgbm,validation,5,100,0.03,7,3,50,0.8,0.8,0.1,1.0,balanced,0.7673853923853924,0.7294229760650773,0.48148148148148145,0.45454545454545453,0.4676258992805755,0.24305555555555555,135,65,70,143,431
risk_lgbm,holdout,5,100,0.03,7,3,50,0.8,0.8,0.1,1.0,balanced,0.5464572918930666,0.31982722023249605,0.32894736842105265,0.29069767441860467,0.30864197530864196,0.2383177570093458,76,25,51,86,300
risk_lgbm,validation,6,100,0.03,7,3,50,0.8,0.9,0.1,1.0,balanced,0.7676039238539238,0.7288958250317555,0.4413793103448276,0.44755244755244755,0.4444444444444444,0.28125,145,64,81,143,431
risk_lgbm,holdout,6,100,0.03,7,3,50,0.8,0.9,0.1,1.0,balanced,0.5496087806998479,0.32997243580434926,0.32926829268292684,0.313953488372093,0.32142857142857145,0.2570093457943925,82,27,55,86,300
risk_lgbm,validation,7,100,0.03,7,3,50,0.9,0.8,0.1,1.0,balanced,0.7673853923853924,0.7294229760650773,0.48148148148148145,0.45454545454545453,0.4676258992805755,0.24305555555555555,135,65,70,143,431
risk_lgbm,holdout,7,100,0.03,7,3,50,0.9,0.8,0.1,1.0,balanced,0.5464572918930666,0.31982722023249605,0.32894736842105265,0.29069767441860467,0.30864197530864196,0.2383177570093458,76,25,51,86,300
risk_lgbm,validation,8,100,0.03,7,3,50,0.9,0.9,0.1,1.0,balanced,0.7676039238539238,0.7288958250317555,0.4413793103448276,0.44755244755244755,0.4444444444444444,0.28125,145,64,81,143,431
risk_lgbm,holdout,8,100,0.03,7,3,50,0.9,0.9,0.1,1.0,balanced,0.5496087806998479,0.32997243580434926,0.32926829268292684,0.313953488372093,0.32142857142857145,0.2570093457943925,82,27,55,86,300
risk_lgbm,validation,9,100,0.03,7,4,30,0.8,0.8,0.1,1.0,balanced,0.7852806915306915,0.7793948897669618,0.5507246376811594,0.5314685314685315,0.5409252669039146,0.2152777777777778,138,76,62,143,431
risk_lgbm,holdout,9,100,0.03,7,4,30,0.8,0.8,0.1,1.0,balanced,0.5943816561617039,0.36057278481593913,0.38271604938271603,0.36046511627906974,0.3712574850299401,0.2336448598130841,81,31,50,86,300
risk_lgbm,validation,10,100,0.03,7,4,30,0.8,0.9,0.1,1.0,balanced,0.7785547785547785,0.7832851581406665,0.47435897435897434,0.5174825174825175,0.49498327759197325,0.2847222222222222,156,74,82,143,431
risk_lgbm,holdout,10,100,0.03,7,4,30,0.8,0.9,0.1,1.0,balanced,0.5792762442947186,0.3309928003626065,0.38461538461538464,0.3488372093023256,0.36585365853658536,0.22429906542056074,78,30,48,86,300
risk_lgbm,validation,11,100,0.03,7,4,30,0.9,0.8,0.1,1.0,balanced,0.7852806915306915,0.7793948897669618,0.5507246376811594,0.5314685314685315,0.5409252669039146,0.2152777777777778,138,76,62,143,431
risk_lgbm,holdout,11,100,0.03,7,4,30,0.9,0.8,0.1,1.0,balanced,0.5943816561617039,0.36057278481593913,0.38271604938271603,0.36046511627906974,0.3712574850299401,0.2336448598130841,81,31,50,86,300
risk_lgbm,validation,12,100,0.03,7,4,30,0.9,0.9,0.1,1.0,balanced,0.7785547785547785,0.7832851581406665,0.47435897435897434,0.5174825174825175,0.49498327759197325,0.2847222222222222,156,74,82,143,431
risk_lgbm,holdout,12,100,0.03,7,4,30,0.9,0.9,0.1,1.0,balanced,0.5792762442947186,0.3309928003626065,0.38461538461538464,0.3488372093023256,0.36585365853658536,0.22429906542056074,78,30,48,86,300
risk_lgbm,validation,13,100,0.03,7,4,50,0.8,0.8,0.1,1.0,balanced,0.7840909090909091,0.7865972830987744,0.5813953488372093,0.5244755244755245,0.5514705882352942,0.1875,129,75,54,143,431
