candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
9,holdout,450,0.015,31,3,30,1.0,0.7,0.5,0.5,,86,0.686046511627907,0.46282702804441933,0.67680853019579,0.9651162790697675,0.3488372093023256
10,validation,120,0.04,31,5,10,0.7,0.7,0.0,2.0,balanced,143,0.43356643356643354,0.32362776282521816,0.3891701643108543,0.7902097902097902,0.7132867132867133
10,holdout,120,0.04,31,5,10,0.7,0.7,0.0,2.0,balanced,86,0.6744186046511628,0.4554334554334554,0.6656870261521424,0.9651162790697675,0.36046511627906974
11,validation,450,0.025,63,5,30,0.7,1.0,0.1,2.0,balanced,143,0.46153846153846156,0.3433455433455433,0.41647583186044723,0.7902097902097902,0.6713286713286714
11,holdout,450,0.025,63,5,30,0.7,1.0,0.1,2.0,balanced,86,0.6395348837209303,0.4339869281045751,0.6306429548563611,0.9651162790697675,0.3953488372093023
12,validation,320,0.015,63,3,45,0.7,0.85,0.0,0.5,balanced,143,0.42657342657342656,0.317990097194205,0.37956651820579934,0.7902097902097902,0.7062937062937062
12,holdout,320,0.015,63,3,45,0.7,0.85,0.0,0.5,balanced,86,0.6395348837209303,0.4340715820951313,0.629517345694708,0.9651162790697675,0.3953488372093023
13,validation,120,0.015,63,-1,20,0.7,0.85,0.0,5.0,,143,0.5314685314685315,0.36335282651072126,0.4661841082893714,0.7902097902097902,0.5664335664335665
13,holdout,120,0.015,63,-1,20,0.7,0.85,0.0,5.0,,86,0.6046511627906976,0.3728402865571007,0.5649053303148797,0.9651162790697675,0.43023255813953487
14,validation,120,0.015,63,5,20,0.7,1.0,0.5,5.0,balanced,143,0.46853146853146854,0.34590770614815264,0.42593816659939454,0.7902097902097902,0.6643356643356644
14,holdout,120,0.015,63,5,20,0.7,1.0,0.5,5.0,balanced,86,0.686046511627907,0.4652096759129541,0.6769663836525116,0.9651162790697675,0.3488372093023256
