candidate_id,split,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,roc_auc,average_precision,precision,recall,f1,false_positive_rate,predicted_positive_count,true_positive_count,false_positive_count,positive_count,row_count
9,holdout,400,0.015,5,5,40,0.95,0.8,0.1,2.0,balanced,0.6409476200825908,0.41620597745980714,0.4044943820224719,0.4186046511627907,0.4114285714285714,0.24766355140186916,89,36,53,86,300
10,validation,80,0.04,31,5,120,1.0,0.8,0.0,1.0,,0.7663777195027195,0.7961293077624844,0.9672131147540983,0.4125874125874126,0.5784313725490197,0.006944444444444444,61,59,2,143,431
10,holdout,80,0.04,31,5,120,1.0,0.8,0.0,1.0,,0.4795153227559226,0.3592096177173687,0.875,0.08139534883720931,0.14893617021276595,0.004672897196261682,8,7,1,86,300
11,validation,260,0.06,11,-1,40,1.0,0.65,0.0,2.0,,0.7657099844599845,0.7907074745910735,0.8372093023255814,0.5034965034965035,0.62882096069869,0.04861111111111111,86,72,14,143,431
11,holdout,260,0.06,11,-1,40,1.0,0.65,0.0,2.0,,0.5918821995218431,0.3430345251115734,0.2564102564102564,0.11627906976744186,0.16,0.13551401869158877,39,10,29,86,300
12,validation,400,0.015,7,3,90,1.0,0.65,0.1,2.0,balanced,0.7525009712509713,0.7545763189544024,0.48905109489051096,0.46853146853146854,0.4785714285714286,0.24305555555555555,137,67,70,143,431
12,holdout,400,0.015,7,3,90,1.0,0.65,0.1,2.0,balanced,0.5212997174527276,0.3226348969846335,0.2835820895522388,0.22093023255813954,0.24836601307189543,0.22429906542056074,67,19,48,86,300
13,validation,400,0.08,11,2,120,0.8,0.8,1.0,2.0,balanced,0.7731157731157731,0.765520079893647,0.6486486486486487,0.5034965034965035,0.5669291338582677,0.13541666666666666,111,72,39,143,431
13,holdout,400,0.08,11,2,120,0.8,0.8,1.0,2.0,balanced,0.5792762442947186,0.39965820489584636,0.391304347826087,0.313953488372093,0.34838709677419355,0.19626168224299065,69,27,42,86,300
14,validation,180,0.08,63,3,90,1.0,0.8,0.0,2.0,balanced,0.7748397435897437,0.7876645271211974,0.5891472868217055,0.5314685314685315,0.5588235294117647,0.1840277777777778,129,76,53,143,431
14,holdout,180,0.08,63,3,90,1.0,0.8,0.0,2.0,balanced,0.5711258422082156,0.35746497034652724,0.38461538461538464,0.29069767441860467,0.33112582781456956,0.18691588785046728,65,25,40,86,300
15,validation,80,0.04,11,3,40,0.65,0.8,0.5,1.0,,0.7854506604506605,0.7621048309559646,0.7468354430379747,0.4125874125874126,0.5315315315315315,0.06944444444444445,79,59,20,143,431
15,holdout,80,0.04,11,3,40,0.65,0.8,0.5,1.0,,0.6431753966529016,0.4042655179333754,0.75,0.2441860465116279,0.3684210526315789,0.03271028037383177,28,21,7,86,300
16,validation,260,0.025,5,5,90,0.95,0.95,0.5,0.5,balanced,0.7443667443667443,0.7609523830589087,0.45185185185185184,0.42657342657342656,0.43884892086330934,0.2569444444444444,135,61,74,143,431
16,holdout,260,0.025,5,5,90,0.95,0.95,0.5,0.5,balanced,0.5909584872853728,0.3923344357095206,0.4473684210526316,0.3953488372093023,0.41975308641975306,0.19626168224299065,76,34,42,86,300
17,validation,180,0.025,15,2,90,0.65,1.0,0.0,1.0,balanced,0.7622134809634808,0.7443968259045977,0.43243243243243246,0.44755244755244755,0.43986254295532645,0.2916666666666667,148,64,84,143,431
17,holdout,180,0.025,15,2,90,0.65,1.0,0.0,1.0,balanced,0.6074766355140186,0.35330011435617426,0.49473684210526314,0.5465116279069767,0.5193370165745856,0.22429906542056074,95,47,48,86,300
18,validation,80,0.015,63,3,20,0.65,0.95,1.0,2.0,,0.8350208818958819,0.8197787800772972,0.8360655737704918,0.35664335664335667,0.5,0.034722222222222224,61,51,10,143,431
18,holdout,80,0.015,63,3,20,0.65,0.95,1.0,2.0,,0.6528200391219301,0.4555725412354507,0.7692307692307693,0.11627906976744186,0.20202020202020202,0.014018691588785047,13,10,3,86,300
19,validation,80,0.015,31,-1,60,0.65,0.65,1.0,0.5,,0.8267045454545455,0.823138514795173,1.0,0.3776223776223776,0.5482233502538071,0.0,54,54,0,143,431
