variant,rows,positives,precision_high_or_urgent,recall_high_or_urgent,f1_high_or_urgent,false_positive_rate,predicted_positive_rate,top10_prefault_coverage,top20_prefault_coverage,top50_prefault_coverage,mean_priority_score,p95_priority_score
urgency_prob_0_24h_x8,300,86,1.0,0.5116279069767442,0.676923076923077,0.0,0.14666666666666667,0.11627906976744186,0.23255813953488372,0.5348837209302325,27.282855666666663,70.97903000000001
risk_gated_urgency_x8,300,86,1.0,0.5116279069767442,0.676923076923077,0.0,0.14666666666666667,0.11627906976744186,0.23255813953488372,0.5116279069767442,26.802726999999994,70.97903000000001
urgency_prob_0_24h_x5,300,86,1.0,0.47674418604651164,0.6456692913385826,0.0,0.13666666666666666,0.11627906976744186,0.23255813953488372,0.5116279069767442,26.858553333333337,69.65343
risk_gated_urgency_x5,300,86,1.0,0.47674418604651164,0.6456692913385826,0.0,0.13666666666666666,0.11627906976744186,0.23255813953488372,0.5116279069767442,26.558473666666668,69.65343
short_bucket_bonus,300,86,1.0,0.47674418604651164,0.6456692913385826,0.0,0.13666666666666666,0.11627906976744186,0.23255813953488372,0.5232558139534884,27.174717,70.13536500000001
urgency_prob_0_24h_x3,300,86,1.0,0.46511627906976744,0.6349206349206349,0.0,0.13333333333333333,0.11627906976744186,0.23255813953488372,0.5116279069767442,26.575685999999997,68.978035
official_priority_v2,300,86,1.0,0.43023255813953487,0.6016260162601627,0.0,0.12333333333333334,0.11627906976744186,0.23255813953488372,0.5116279069767442,26.151383666666668,68.13536500000001
