evaluation_split_column,split,threshold_quantile,threshold_value,row_count,normal_count,pre_fault_count,predicted_anomaly_count,predicted_anomaly_rate,roc_auc,average_precision,precision,recall,f1,false_positive_rate,true_positive_count,false_positive_count,false_negative_count,true_negative_count
split_time_based,train,0.85,0.4782489945261593,1770,1263,507,339,0.19152542372881357,0.6158984041315486,0.40707710580536116,0.43952802359882004,0.2938856015779093,0.35224586288416077,0.15043547110055425,149,190,358,1073
split_time_based,validation,0.85,0.4782489945261593,362,243,119,18,0.049723756906077346,0.6127537434726977,0.46715291957309,0.6111111111111112,0.09243697478991597,0.16058394160583941,0.02880658436213992,11,7,108,236
split_time_based,holdout,0.85,0.4782489945261593,394,261,133,47,0.11928934010152284,0.7152363667790166,0.6929799703112345,0.9148936170212766,0.3233082706766917,0.4777777777777778,0.01532567049808429,43,4,90,257
split_time_based,train,0.9,0.4908943839229221,1770,1263,507,254,0.14350282485875707,0.6158984041315486,0.40707710580536116,0.5,0.2504930966469428,0.33377135348226017,0.10055423594615993,127,127,380,1136
split_time_based,validation,0.9,0.4908943839229221,362,243,119,7,0.019337016574585635,0.6127537434726977,0.46715291957309,1.0,0.058823529411764705,0.1111111111111111,0.0,7,0,112,243
split_time_based,holdout,0.9,0.4908943839229221,394,261,133,33,0.08375634517766498,0.7152363667790166,0.6929799703112345,0.9696969696969697,0.24060150375939848,0.3855421686746988,0.0038314176245210726,32,1,101,260
split_time_based,train,0.92,0.5000801561328243,1770,1263,507,207,0.11694915254237288,0.6158984041315486,0.40707710580536116,0.5120772946859904,0.20907297830374755,0.2969187675070028,0.07996832937450514,106,101,401,1162
split_time_based,validation,0.92,0.5000801561328243,362,243,119,2,0.0055248618784530384,0.6127537434726977,0.46715291957309,1.0,0.01680672268907563,0.03305785123966942,0.0,2,0,117,243
split_time_based,holdout,0.92,0.5000801561328243,394,261,133,26,0.06598984771573604,0.7152363667790166,0.6929799703112345,1.0,0.19548872180451127,0.3270440251572327,0.0,26,0,107,261
split_time_based,train,0.94,0.5127022984586344,1770,1263,507,146,0.08248587570621468,0.6158984041315486,0.40707710580536116,0.4794520547945205,0.13806706114398423,0.21439509954058192,0.060174188440221696,70,76,437,1187
