variant,scope,rows,positives,roc_auc,average_precision,precision_high_or_critical,recall_high_or_critical,f1_high_or_critical,false_positive_rate,predicted_positive_rate
official_risk_plus_thermal_w0.03,holdout_all,300,86,0.7649967398391654,0.6233320986365074,0.5921052631578947,0.5232558139534884,0.5555555555555556,0.14485981308411214,0.25333333333333335
official_risk_plus_thermal_w0.30,holdout_all,300,86,0.7836339926103021,0.6709158253941753,0.5263157894736842,0.5813953488372093,0.5524861878453039,0.2102803738317757,0.31666666666666665
official_risk_plus_thermal_w0.05,holdout_all,300,86,0.7673331884372963,0.6268390424324323,0.5844155844155844,0.5232558139534884,0.5521472392638037,0.14953271028037382,0.25666666666666665
official_risk_plus_thermal_w0.10,holdout_all,300,86,0.7711910454249076,0.6352694823788261,0.5609756097560976,0.5348837209302325,0.5476190476190477,0.16822429906542055,0.2733333333333333
official_risk_calibrated,holdout_all,300,86,0.7627689632688546,0.6196530346996173,0.5866666666666667,0.5116279069767442,0.546583850931677,0.14485981308411214,0.25
official_risk_plus_thermal_w0.15,holdout_all,300,86,0.7743425342316888,0.6423083684673287,0.5465116279069767,0.5465116279069767,0.5465116279069767,0.1822429906542056,0.2866666666666667
official_risk_plus_thermal_w0.20,holdout_all,300,86,0.7772223429689199,0.6514482701661436,0.5333333333333333,0.5581395348837209,0.5454545454545454,0.19626168224299065,0.3
official_risk_plus_thermal_w0.08,holdout_all,300,86,0.7703216692023473,0.6332647164570997,0.5625,0.5232558139534884,0.5421686746987951,0.16355140186915887,0.26666666666666666
official_risk_plus_thermal_w0.30,holdout_manufacturer2_SH,65,12,0.9103773584905661,0.7746621796866896,1.0,0.5,0.6666666666666666,0.0,0.09230769230769231
official_risk_plus_thermal_w0.20,holdout_manufacturer2_SH,65,12,0.8930817610062893,0.7320213354549321,0.8571428571428571,0.5,0.631578947368421,0.018867924528301886,0.1076923076923077
official_risk_plus_thermal_w0.15,holdout_manufacturer2_SH,65,12,0.8867924528301887,0.7191760037348274,0.8571428571428571,0.5,0.631578947368421,0.018867924528301886,0.1076923076923077
official_risk_plus_thermal_w0.10,holdout_manufacturer2_SH,65,12,0.8852201257861636,0.7180471038990309,0.8571428571428571,0.5,0.631578947368421,0.018867924528301886,0.1076923076923077
official_risk_plus_thermal_w0.08,holdout_manufacturer2_SH,65,12,0.8820754716981133,0.7140647028578063,0.8571428571428571,0.5,0.631578947368421,0.018867924528301886,0.1076923076923077
official_risk_plus_thermal_w0.03,holdout_manufacturer2_SH,65,12,0.8805031446540881,0.7124177990369894,0.8571428571428571,0.5,0.631578947368421,0.018867924528301886,0.1076923076923077
official_risk_plus_thermal_w0.05,holdout_manufacturer2_SH,65,12,0.8805031446540881,0.7124177990369894,0.8571428571428571,0.5,0.631578947368421,0.018867924528301886,0.1076923076923077
official_risk_calibrated,holdout_manufacturer2_SH,65,12,0.878930817610063,0.7086784827976732,0.6,0.5,0.5454545454545454,0.07547169811320754,0.15384615384615385
