model,split,candidate_id,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,class_weight,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
leadtime_lgbm,holdout,7,150,0.03,7,3,20,0.9,0.8,0.1,1.0,balanced,86,0.6744186046511628,0.45773792845801814,0.6644979050870872,0.9651162790697675,0.36046511627906974
leadtime_lgbm,validation,8,150,0.03,7,3,20,0.9,0.9,0.1,1.0,balanced,143,0.45454545454545453,0.3385416666666667,0.41466346153846156,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,8,150,0.03,7,3,20,0.9,0.9,0.1,1.0,balanced,86,0.6744186046511628,0.45773792845801814,0.6644979050870872,0.9651162790697675,0.36046511627906974
leadtime_lgbm,validation,9,150,0.03,7,3,30,0.8,0.8,0.1,1.0,balanced,143,0.45454545454545453,0.33827748275651587,0.41338006435973845,0.7902097902097902,0.6923076923076923
leadtime_lgbm,holdout,9,150,0.03,7,3,30,0.8,0.8,0.1,1.0,balanced,86,0.686046511627907,0.4656574151948416,0.6754552389148591,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,10,150,0.03,7,3,30,0.8,0.9,0.1,1.0,balanced,143,0.4405594405594406,0.328125,0.39849213286713286,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,10,150,0.03,7,3,30,0.8,0.9,0.1,1.0,balanced,86,0.6976744186046512,0.4735219949565705,0.687411625952159,0.9651162790697675,0.3372093023255814
leadtime_lgbm,validation,11,150,0.03,7,3,30,0.9,0.8,0.1,1.0,balanced,143,0.45454545454545453,0.33827748275651587,0.41338006435973845,0.7902097902097902,0.6923076923076923
leadtime_lgbm,holdout,11,150,0.03,7,3,30,0.9,0.8,0.1,1.0,balanced,86,0.686046511627907,0.4656574151948416,0.6754552389148591,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,12,150,0.03,7,3,30,0.9,0.9,0.1,1.0,balanced,143,0.4405594405594406,0.328125,0.39849213286713286,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,12,150,0.03,7,3,30,0.9,0.9,0.1,1.0,balanced,86,0.6976744186046512,0.4735219949565705,0.687411625952159,0.9651162790697675,0.3372093023255814
leadtime_lgbm,validation,13,150,0.03,7,4,10,0.8,0.8,0.1,1.0,balanced,143,0.42657342657342656,0.316562493553644,0.3716364086436492,0.7902097902097902,0.7202797202797203
leadtime_lgbm,holdout,13,150,0.03,7,4,10,0.8,0.8,0.1,1.0,balanced,86,0.627906976744186,0.4261129816685372,0.6172970010179313,0.9651162790697675,0.4069767441860465
leadtime_lgbm,validation,14,150,0.03,7,4,10,0.8,0.9,0.1,1.0,balanced,143,0.42657342657342656,0.3183756759514335,0.38185542648352566,0.7902097902097902,0.7202797202797203
leadtime_lgbm,holdout,14,150,0.03,7,4,10,0.8,0.9,0.1,1.0,balanced,86,0.6395348837209303,0.43389513108614236,0.6280114972563365,0.9651162790697675,0.3953488372093023
leadtime_lgbm,validation,15,150,0.03,7,4,10,0.9,0.8,0.1,1.0,balanced,143,0.42657342657342656,0.316562493553644,0.3716364086436492,0.7902097902097902,0.7202797202797203
leadtime_lgbm,holdout,15,150,0.03,7,4,10,0.9,0.8,0.1,1.0,balanced,86,0.627906976744186,0.4261129816685372,0.6172970010179313,0.9651162790697675,0.4069767441860465
leadtime_lgbm,validation,16,150,0.03,7,4,10,0.9,0.9,0.1,1.0,balanced,143,0.42657342657342656,0.3183756759514335,0.38185542648352566,0.7902097902097902,0.7202797202797203
leadtime_lgbm,holdout,16,150,0.03,7,4,10,0.9,0.9,0.1,1.0,balanced,86,0.6395348837209303,0.43389513108614236,0.6280114972563365,0.9651162790697675,0.3953488372093023
leadtime_lgbm,validation,17,150,0.03,7,4,20,0.8,0.8,0.1,1.0,balanced,143,0.3986013986013986,0.2979819665092314,0.35898236585226706,0.7902097902097902,0.7622377622377622
leadtime_lgbm,holdout,17,150,0.03,7,4,20,0.8,0.8,0.1,1.0,balanced,86,0.6744186046511628,0.45747773089545235,0.6618748568998789,0.9651162790697675,0.36046511627906974
leadtime_lgbm,validation,18,150,0.03,7,4,20,0.8,0.9,0.1,1.0,balanced,143,0.4195804195804196,0.3129019129019129,0.38033078033078027,0.7902097902097902,0.7272727272727273
leadtime_lgbm,holdout,18,150,0.03,7,4,20,0.8,0.9,0.1,1.0,balanced,86,0.686046511627907,0.4655430711610487,0.6742095636268617,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,19,150,0.03,7,4,20,0.9,0.8,0.1,1.0,balanced,143,0.3986013986013986,0.2979819665092314,0.35898236585226706,0.7902097902097902,0.7622377622377622
leadtime_lgbm,holdout,19,150,0.03,7,4,20,0.9,0.8,0.1,1.0,balanced,86,0.6744186046511628,0.45747773089545235,0.6618748568998789,0.9651162790697675,0.36046511627906974
leadtime_lgbm,validation,20,150,0.03,7,4,20,0.9,0.9,0.1,1.0,balanced,143,0.4195804195804196,0.3129019129019129,0.38033078033078027,0.7902097902097902,0.7272727272727273
leadtime_lgbm,holdout,20,150,0.03,7,4,20,0.9,0.9,0.1,1.0,balanced,86,0.686046511627907,0.4655430711610487,0.6742095636268617,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,21,150,0.03,7,4,30,0.8,0.8,0.1,1.0,balanced,143,0.44755244755244755,0.33374033374033374,0.4051504051504052,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,21,150,0.03,7,4,30,0.8,0.8,0.1,1.0,balanced,86,0.686046511627907,0.4655462184873949,0.6763728747312878,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,22,150,0.03,7,4,30,0.8,0.9,0.1,1.0,balanced,143,0.48951048951048953,0.36402116402116397,0.44468864468864466,0.7902097902097902,0.6573426573426573
leadtime_lgbm,holdout,22,150,0.03,7,4,30,0.8,0.9,0.1,1.0,balanced,86,0.6744186046511628,0.45772540216984653,0.6633583901025761,0.9651162790697675,0.36046511627906974
leadtime_lgbm,validation,23,150,0.03,7,4,30,0.9,0.8,0.1,1.0,balanced,143,0.44755244755244755,0.33374033374033374,0.4051504051504052,0.7902097902097902,0.6993006993006993
leadtime_lgbm,holdout,23,150,0.03,7,4,30,0.9,0.8,0.1,1.0,balanced,86,0.686046511627907,0.4655462184873949,0.6763728747312878,0.9651162790697675,0.3488372093023256
leadtime_lgbm,validation,24,150,0.03,7,4,30,0.9,0.9,0.1,1.0,balanced,143,0.48951048951048953,0.36402116402116397,0.44468864468864466,0.7902097902097902,0.6573426573426573
leadtime_lgbm,holdout,24,150,0.03,7,4,30,0.9,0.9,0.1,1.0,balanced,86,0.6744186046511628,0.45772540216984653,0.6633583901025761,0.9651162790697675,0.36046511627906974
leadtime_lgbm,validation,25,150,0.03,7,-1,10,0.8,0.8,0.1,1.0,balanced,143,0.4125874125874126,0.30822521470003483,0.36933207602825757,0.7902097902097902,0.7482517482517482
