split_strategy,safe_feature,median
split_time_based,f_0170,60.9
split_time_based,f_0171,62.1
split_time_based,f_0172,60.56666666666667
split_time_based,f_0173,57.9
split_time_based,f_0174,0.0
split_time_based,f_0175,0.0
split_time_based,f_0176,1.170296224879947
split_time_based,f_0177,0.5499999999999972
split_time_based,f_0178,3.504999999999999
split_time_based,f_0179,0.3375
split_time_based,f_0180,0.0
split_time_based,f_0181,60.0
split_time_based,f_0182,60.0
split_time_based,f_0183,60.0
split_time_based,f_0184,60.0
split_time_based,f_0185,60.0
split_time_based,f_0186,0.0
split_time_based,f_0187,0.0
split_time_based,f_0188,0.0
split_time_based,f_0189,3.0
split_time_based,f_0190,233.0
split_time_based,f_0191,15.0
split_time_based,f_0192,1.0
split_time_based,f_0193,0.0
split_time_based,f_0194,8.0
split_time_based,f_0195,0.4274622215222048
split_time_based,f_0196,0.030261724016032998
split_time_based,f_0197,0.030261724016032998
split_time_based,f_0198,0.7686871268865296
split_time_based,f_0199,0.3179578371250813
split_time_based,f_0200,0.6156411685317036
split_time_based,f_0201,0.00880819179478205
split_time_based,f_0202,0.0
split_time_based,f_0203,0.0
split_time_based,f_0204,1.0
split_time_based,f_0205,0.0
split_time_based,f_0206,0.0
split_time_based,f_0207,1.0
split_time_based,f_0208,0.0
split_substation_based,f_0000,-0.2225209339563143
split_substation_based,f_0001,0.0
split_substation_based,f_0002,0.4850598461951962
split_substation_based,f_0003,0.2213252843824324
split_substation_based,f_0004,0.7071067811865474
split_substation_based,f_0005,-0.7071067811865471
split_substation_based,f_0006,0.0
split_substation_based,f_0007,0.0
split_substation_based,f_0008,1.0
split_substation_based,f_0009,0.0
split_substation_based,f_0010,0.0
split_substation_based,f_0011,0.0
split_substation_based,f_0012,0.0
split_substation_based,f_0013,1.0
split_substation_based,f_0014,0.0
split_substation_based,f_0015,0.0
split_substation_based,f_0016,1.0
split_substation_based,f_0017,1.0
split_substation_based,f_0018,0.0
split_substation_based,f_0019,0.0
split_substation_based,f_0020,1.0
split_substation_based,f_0021,0.0
split_substation_based,f_0022,0.0
split_substation_based,f_0023,0.0
split_substation_based,f_0024,1.0
split_substation_based,f_0025,1.0
split_substation_based,f_0026,0.0
split_substation_based,f_0027,0.0
split_substation_based,f_0028,0.0
split_substation_based,f_0029,1.0
split_substation_based,f_0030,0.0
split_substation_based,f_0031,0.0
split_substation_based,f_0032,0.0
split_substation_based,f_0033,1.0
split_substation_based,f_0034,1.0
split_substation_based,f_0035,0.0
split_substation_based,f_0036,0.0
split_substation_based,f_0037,0.0
split_substation_based,f_0038,1.0
split_substation_based,f_0039,1.0
split_substation_based,f_0040,0.0
split_substation_based,f_0041,0.0
split_substation_based,f_0042,0.0
split_substation_based,f_0043,0.0
split_substation_based,f_0044,1.0
split_substation_based,f_0045,0.0
split_substation_based,f_0046,0.0
split_substation_based,f_0047,0.0
split_substation_based,f_0048,0.0
split_substation_based,f_0049,0.0
split_substation_based,f_0050,301.0
split_substation_based,f_0051,301.0
split_substation_based,f_0052,9.0
split_substation_based,f_0053,0.0
split_substation_based,f_0054,1.0
split_substation_based,f_0055,10.0
split_substation_based,f_0056,0.0
split_substation_based,f_0057,0.0
split_substation_based,f_0058,40.0
split_substation_based,f_0059,47.0
split_substation_based,f_0060,40.638888888888886
split_substation_based,f_0061,-0.2000000000000001
split_substation_based,f_0062,8.5
split_substation_based,f_0063,8.5
split_substation_based,f_0064,9.77
split_substation_based,f_0065,8.5
split_substation_based,f_0066,7.5
split_substation_based,f_0067,0.5163055573702744
split_substation_based,f_0068,-0.1000000000000014
split_substation_based,f_0069,45.4
split_substation_based,f_0070,45.4
split_substation_based,f_0071,49.81
split_substation_based,f_0072,45.21388888888889
split_substation_based,f_0073,40.3
split_substation_based,f_0074,1.8570131975494983
split_substation_based,f_0075,14000.0
split_substation_based,f_0076,12072000.0
split_substation_based,f_0077,12246000.0
split_substation_based,f_0078,12246000.0
split_substation_based,f_0079,12154333.333333334
split_substation_based,f_0080,12072000.0
split_substation_based,f_0081,0.0
split_substation_based,f_0082,0.0
split_substation_based,f_0083,4528.130768221013
split_substation_based,f_0084,0.0
split_substation_based,f_0085,91000.0
split_substation_based,f_0086,86000.0
split_substation_based,f_0087,221000.0
split_substation_based,f_0088,148027.77777777778
split_substation_based,f_0089,2880.0
split_substation_based,f_0090,0.0
split_substation_based,f_0091,0.0
split_substation_based,f_0092,19520.664671223392
split_substation_based,f_0093,0.1666666666666678
split_substation_based,f_0094,1800.0
split_substation_based,f_0095,1700.0
split_substation_based,f_0096,4200.0
split_substation_based,f_0097,2397.222222222222
split_substation_based,f_0098,117.0
split_substation_based,f_0099,0.0
split_substation_based,f_0100,0.0
split_substation_based,f_0101,521.1936848647124
split_substation_based,f_0102,790000.0
split_substation_based,f_0103,323990000.0
split_substation_based,f_0104,325580000.0
split_substation_based,f_0105,325580000.0
split_substation_based,f_0106,324765277.7777778
split_substation_based,f_0107,323990000.0
split_substation_based,f_0108,0.0
split_substation_based,f_0109,0.0
split_substation_based,f_0110,242653.8131063967
split_substation_based,f_0111,0.0
split_substation_based,f_0112,51.2
split_substation_based,f_0113,51.0
split_substation_based,f_0114,55.0
split_substation_based,f_0115,51.09722222222222
split_substation_based,f_0116,44.11
split_substation_based,f_0117,0.0
split_substation_based,f_0118,0.0
split_substation_based,f_0119,2.1957751641342
split_substation_based,f_0120,0.0
split_substation_based,f_0121,90.0
split_substation_based,f_0122,90.0
split_substation_based,f_0123,91.0
split_substation_based,f_0124,89.33333333333333
split_substation_based,f_0125,88.0
split_substation_based,f_0126,0.0
split_substation_based,f_0127,0.0
split_substation_based,f_0128,0.7149203529842368
split_substation_based,f_0129,36.0
split_substation_based,f_0130,-0.0500000000000113
split_substation_based,f_0131,61.6
split_substation_based,f_0132,61.7
split_substation_based,f_0133,68.23
split_substation_based,f_0134,61.5
split_substation_based,f_0135,54.2
split_substation_based,f_0136,2.288182199427701
split_substation_based,f_0137,0.0
split_substation_based,f_0138,0.0
split_substation_based,f_0139,0.0
split_substation_based,f_0140,0.1499999999999985
split_substation_based,f_0141,4.200000000000003
split_substation_based,f_0142,0.1138888888888883
split_substation_based,f_0143,0.0
split_substation_based,f_0144,60.9
split_substation_based,f_0145,61.2
split_substation_based,f_0146,66.0
split_substation_based,f_0147,61.13611111111111
split_substation_based,f_0148,55.3
split_substation_based,f_0149,1.540193633466728
split_substation_based,f_0150,0.0550000000000032
split_substation_based,f_0151,42.2
split_substation_based,f_0152,38.55
split_substation_based,f_0153,56.1
split_substation_based,f_0154,32.16319444444444
split_substation_based,f_0155,16.2
split_substation_based,f_0156,0.0
split_substation_based,f_0157,0.0
split_substation_based,f_0158,9.606589461627788
split_substation_based,f_0159,-0.004999999999999
split_substation_based,f_0160,58.9
split_substation_based,f_0161,58.875
split_substation_based,f_0162,60.9
split_substation_based,f_0163,58.16111111111111
split_substation_based,f_0164,55.150000000000006
split_substation_based,f_0165,0.0
split_substation_based,f_0166,0.0
split_substation_based,f_0167,1.3527774006071067
split_substation_based,f_0168,-0.0200000000000031
split_substation_based,f_0169,60.9
split_substation_based,f_0170,60.9
split_substation_based,f_0171,62.1
