split,model_key,n,mae,rmse,r2,spearman,pre_fault_count,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,precision@50,recall@50,ndcg@50,precision@100,recall@100,ndcg@100,precision@R,recall@R,ndcg@R,action_threshold,tp,fp,fn,tn,action_precision,action_recall,action_f1,action_specificity,action_rate
split_time_based_holdout,rule_base_raw_inference,394,30.131548223350258,35.39387967102512,0.1350296466727814,0.431654151019312,133,1.0,0.07518796992481203,1.0,1.0,0.15037593984962405,0.9011650729985895,1.0,0.37593984962406013,0.8079188489682749,0.71,0.5338345864661654,0.7053791049498019,0.6616541353383458,0.6616541353383458,0.7088979586238828,48.0,78,45,47,224,0.6341463414634146,0.624,0.6290322580645161,0.8327137546468402,0.31218274111675126
split_time_based_holdout,team_7feature_lgbm_raw,394,26.254289803269273,33.912547850655734,0.20591732411780483,0.47299501352080625,133,0.8,0.06015037593984962,0.7572104547985214,0.8,0.12030075187969924,0.7014756910054637,0.72,0.2706766917293233,0.6105268618782009,0.64,0.48120300751879697,0.624753643233922,0.6015037593984962,0.6015037593984962,0.6270263024884479,49.5,27,11,98,258,0.7105263157894737,0.216,0.33128834355828224,0.9591078066914498,0.09644670050761421
split_time_based_holdout,expanded_lgbm_raw_upstream,394,23.579137513365982,32.631405895788546,0.2647814551282245,0.559763050142303,133,0.7,0.05263157894736842,0.5154981854504098,0.75,0.11278195488721804,0.5473434536020849,0.6,0.22556390977443608,0.4981218306658241,0.7,0.5263157894736842,0.6124621255176009,0.706766917293233,0.706766917293233,0.6413424548610537,27.75,93,49,32,220,0.6549295774647887,0.744,0.6966292134831461,0.8178438661710037,0.3604060913705584
split_substation_based_holdout,rule_base_raw_inference,256,23.948381640625,27.877705228545057,0.40403106123581767,0.5538246648568562,65,1.0,0.15384615384615385,1.0,1.0,0.3076923076923077,0.905946838251588,0.92,0.7076923076923077,0.8986104495434131,0.53,0.8153846153846154,0.8524139793394974,0.7384615384615385,0.7384615384615385,0.805005233435075,48.0,45,3,20,188,0.9375,0.6923076923076923,0.7964601769911505,0.9842931937172775,0.1875
split_substation_based_holdout,team_7feature_lgbm_raw,256,24.79830257741221,33.90455490114586,0.11849317989968389,0.4164363577206812,65,1.0,0.15384615384615385,1.0,0.7,0.2153846153846154,0.765704315614371,0.6,0.46153846153846156,0.6663383372727932,0.46,0.7076923076923077,0.734428794095365,0.5230769230769231,0.5230769230769231,0.6152825497117319,49.5,30,18,35,173,0.625,0.46153846153846156,0.5309734513274336,0.9057591623036649,0.1875
split_substation_based_holdout,expanded_lgbm_raw_upstream,256,13.443410456242223,25.904960397338257,0.4853932867754306,0.46081985605651715,65,1.0,0.15384615384615385,1.0,1.0,0.3076923076923077,0.9186311333761791,0.86,0.6615384615384615,0.8555476607446023,0.5,0.7692307692307693,0.8168167233799444,0.7076923076923077,0.7076923076923077,0.7763547675556898,47.0,35,1,30,190,0.9722222222222222,0.5384615384615384,0.693069306930693,0.9947643979057592,0.140625
split_regime_based_holdout,rule_base_raw_inference,341,28.9628642228739,33.94937510794004,0.2790310181210107,0.5442774893572769,120,1.0,0.08333333333333333,1.0,1.0,0.16666666666666666,0.9886312529291974,1.0,0.4166666666666667,0.8838134788509899,0.77,0.6416666666666667,0.7855762267989284,0.7333333333333333,0.7333333333333333,0.7796651355142465,48.0,81,35,34,191,0.6982758620689655,0.7043478260869566,0.7012987012987012,0.8451327433628318,0.34017595307917886
split_regime_based_holdout,team_7feature_lgbm_raw,341,25.090209775514275,33.12836551187236,0.3134802600891936,0.45872485725407297,120,1.0,0.08333333333333333,1.0,1.0,0.16666666666666666,0.9886312529291974,0.96,0.4,0.8392873060857352,0.66,0.55,0.7122085225199539,0.6166666666666667,0.6166666666666667,0.7029473567897155,49.5,54,3,61,223,0.9473684210526315,0.46956521739130436,0.627906976744186,0.9867256637168141,0.16715542521994134
split_regime_based_holdout,expanded_lgbm_raw_upstream,341,31.189527597474807,34.931253145388865,0.2367244637037147,0.5290423878566747,120,1.0,0.08333333333333333,1.0,1.0,0.16666666666666666,0.9890049810095713,0.74,0.30833333333333335,0.7797685822510805,0.65,0.5416666666666666,0.7344636232272223,0.6583333333333333,0.6583333333333333,0.7425080643312905,36.25,100,57,15,169,0.6369426751592356,0.8695652173913043,0.7352941176470589,0.7477876106194691,0.4604105571847507
