split,model_key,n,mae,rmse,r2,spearman,pre_fault_count,precision@10,recall@10,ndcg@10,precision@20,recall@20,ndcg@20,precision@50,recall@50,ndcg@50,precision@100,recall@100,ndcg@100,precision@R,recall@R,ndcg@R,action_threshold,tp,fp,fn,tn,action_precision,action_recall,action_f1,action_specificity,action_rate,split_strategy,sampling_strategy,selected_model_key
split_time_based_holdout,rule_base_raw_inference,394,30.131548223350258,35.39387967102512,0.1350296466727814,0.431654151019312,133,1.0,0.07518796992481203,1.0,1.0,0.15037593984962405,0.9011650729985895,1.0,0.37593984962406013,0.8079188489682749,0.71,0.5338345864661654,0.7053791049498019,0.6616541353383458,0.6616541353383458,0.7088979586238828,48.0,78,45,47,224,0.6341463414634146,0.624,0.6290322580645161,0.8327137546468402,0.31218274111675126,,,
split_time_based_holdout,team_7feature_lgbm_raw,394,26.254289803269273,33.912547850655734,0.20591732411780483,0.47299501352080625,133,0.8,0.06015037593984962,0.7572104547985214,0.8,0.12030075187969924,0.7014756910054637,0.72,0.2706766917293233,0.6105268618782009,0.64,0.48120300751879697,0.624753643233922,0.6015037593984962,0.6015037593984962,0.6270263024884479,49.5,27,11,98,258,0.7105263157894737,0.216,0.33128834355828224,0.9591078066914498,0.09644670050761421,,,
split_time_based_holdout,baseline_no_weight,394,23.579137513365982,32.631405895788546,0.2647814551282245,0.559763050142303,133,0.7,0.05263157894736842,0.5154981854504098,0.75,0.11278195488721804,0.5473434536020849,0.6,0.22556390977443608,0.4981218306658241,0.7,0.5263157894736842,0.6124621255176009,0.706766917293233,0.706766917293233,0.6413424548610537,27.75,93,49,32,220,0.6549295774647887,0.744,0.6966292134831461,0.8178438661710037,0.3604060913705584,split_time_based,baseline_no_weight,expanded_lgbm_01
split_time_based_holdout,severity_weighted,394,28.221623300043795,37.8761692525437,0.009448683912948619,0.5111091845529505,133,0.7,0.05263157894736842,0.5031344167447762,0.7,0.10526315789473684,0.5479132650931011,0.72,0.2706766917293233,0.5626265137282797,0.78,0.5864661654135338,0.679120075841016,0.6917293233082706,0.6917293233082706,0.6580802717533856,58.25,84,45,41,224,0.6511627906976745,0.672,0.6614173228346458,0.8327137546468402,0.32741116751269034,split_time_based,severity_weighted,expanded_lgbm_02
split_time_based_holdout,hard_case_weighted,394,22.636010849478293,32.86083967767622,0.25440635903683906,0.5386502810204169,133,1.0,0.07518796992481203,0.8285429466232356,0.75,0.11278195488721804,0.6761330513395497,0.58,0.21804511278195488,0.5607579142627613,0.66,0.49624060150375937,0.6121099365829987,0.7293233082706767,0.7293233082706767,0.6962279167790963,31.25,92,47,33,222,0.6618705035971223,0.736,0.6969696969696969,0.8252788104089219,0.35279187817258884,split_time_based,hard_case_weighted,expanded_lgbm_01
split_time_based_holdout,event_balanced,394,25.289917732436543,32.92196480340644,0.25162999102351724,0.5564512804163886,133,0.9,0.06766917293233082,0.8394336066299524,0.85,0.12781954887218044,0.7268715543300936,0.66,0.24812030075187969,0.6074893733843154,0.7,0.5263157894736842,0.6687595261031417,0.706766917293233,0.706766917293233,0.6897710104351101,30.0,90,53,35,216,0.6293706293706294,0.72,0.6716417910447762,0.8029739776951673,0.3629441624365482,split_time_based,event_balanced,expanded_lgbm_01
split_time_based_holdout,substation_balanced,394,26.198452196726226,32.92032663596542,0.25170446561144943,0.5394763924437278,133,1.0,0.07518796992481203,0.9025596927530356,1.0,0.15037593984962405,0.8625293223988894,0.6,0.22556390977443608,0.594257000803147,0.7,0.5263157894736842,0.682228221706921,0.6766917293233082,0.6766917293233082,0.6778872108234607,40.75,96,57,29,212,0.6274509803921569,0.768,0.6906474820143885,0.7881040892193308,0.3883248730964467,split_time_based,substation_balanced,expanded_lgbm_01
split_time_based_holdout,combined_context_weighted,394,30.676443092020214,41.41270719839259,-0.18416474137224403,0.49279659751097604,133,0.7,0.05263157894736842,0.7632781661392084,0.75,0.11278195488721804,0.742511524618325,0.64,0.24060150375939848,0.5897406954499256,0.66,0.49624060150375937,0.6188425581909961,0.6390977443609023,0.6390977443609023,0.6392472928956466,61.75,81,57,44,212,0.5869565217391305,0.648,0.6159695817490495,0.7881040892193308,0.350253807106599,split_time_based,combined_context_weighted,expanded_lgbm_01
split_time_based_holdout,combined_context_resampled,394,31.93933894134005,42.63666532585349,-0.2551954125288718,0.43325204588133437,133,1.0,0.07518796992481203,0.7100423569675587,0.9,0.13533834586466165,0.7329983785471791,0.74,0.2781954887218045,0.6320416023373394,0.58,0.43609022556390975,0.5940613066971333,0.5639097744360902,0.5639097744360902,0.5903885713647943,54.75,93,106,32,163,0.46733668341708545,0.744,0.5740740740740741,0.6059479553903345,0.5050761421319797,split_time_based,combined_context_resampled,expanded_lgbm_06
split_substation_based_holdout,rule_base_raw_inference,256,23.948381640625,27.877705228545057,0.40403106123581767,0.5538246648568562,65,1.0,0.15384615384615385,1.0,1.0,0.3076923076923077,0.905946838251588,0.92,0.7076923076923077,0.8986104495434131,0.53,0.8153846153846154,0.8524139793394974,0.7384615384615385,0.7384615384615385,0.805005233435075,48.0,45,3,20,188,0.9375,0.6923076923076923,0.7964601769911505,0.9842931937172775,0.1875,,,
