safe_feature,original_feature,split_strategy,sampling_strategy,selected_model_key,importance
f_0061,outdoor_temperature__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0062,outdoor_temperature__first,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0063,outdoor_temperature__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0064,outdoor_temperature__max,split_time_based,baseline_no_weight,expanded_lgbm_01,2
f_0065,outdoor_temperature__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,7
f_0066,outdoor_temperature__min,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0067,outdoor_temperature__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0068,p_hc1_return_temperature__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0069,p_hc1_return_temperature__first,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0070,p_hc1_return_temperature__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0071,p_hc1_return_temperature__max,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0072,p_hc1_return_temperature__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0073,p_hc1_return_temperature__min,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0074,p_hc1_return_temperature__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0075,p_net_meter_energy__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0076,p_net_meter_energy__first,split_time_based,baseline_no_weight,expanded_lgbm_01,12
f_0077,p_net_meter_energy__last,split_time_based,baseline_no_weight,expanded_lgbm_01,3
f_0078,p_net_meter_energy__max,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0079,p_net_meter_energy__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,5
f_0080,p_net_meter_energy__min,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0081,p_net_meter_energy__missing_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0082,p_net_meter_energy__missing_rate,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0083,p_net_meter_energy__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0084,p_net_meter_flow__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0085,p_net_meter_flow__first,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0086,p_net_meter_flow__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0087,p_net_meter_flow__max,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0088,p_net_meter_flow__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0089,p_net_meter_flow__min,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0090,p_net_meter_flow__missing_count,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0091,p_net_meter_flow__missing_rate,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0092,p_net_meter_flow__std,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0093,p_net_meter_heat_power__delta,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0094,p_net_meter_heat_power__first,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0095,p_net_meter_heat_power__last,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0096,p_net_meter_heat_power__max,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0097,p_net_meter_heat_power__mean,split_time_based,baseline_no_weight,expanded_lgbm_01,0
f_0098,p_net_meter_heat_power__min,split_time_based,baseline_no_weight,expanded_lgbm_01,0
