scope,date_filter,min_substations_per_date,score,description,top_n_substations_per_day,ranking_dates,average_substations_per_date,max_substations_per_date,total_station_days,total_pre_fault_station_days,normal_station_days,total_fault_events,selected_station_days,pre_fault_station_day_hits,precision_at_n,station_day_recall_at_n,event_recall_at_n,dates_with_pre_fault,prefault_date_hits,prefault_date_hit_rate,urgent_station_day_hits,urgent_station_day_recall_at_n,normal_false_station_days,normal_false_station_day_rate,distinct_substations_selected,median_pre_fault_rank
overall,rankable_3plus,3,priority_score,final rule-based priority score,1,49,3.4285714285714284,6,168,53,115,17,49,29,0.5918367346938775,0.5471698113207547,0.7647058823529411,31,29,0.9354838709677419,16,0.5925925925925926,20,0.17391304347826086,21,1.0
overall,rankable_3plus,3,priority_score,final rule-based priority score,3,49,3.4285714285714284,6,168,53,115,17,147,50,0.3401360544217687,0.9433962264150944,1.0,31,31,1.0,27,1.0,97,0.8434782608695652,35,1.0
overall,rankable_3plus,3,priority_score,final rule-based priority score,5,49,3.4285714285714284,6,168,53,115,17,165,53,0.3212121212121212,1.0,1.0,31,31,1.0,27,1.0,112,0.9739130434782609,35,1.0
overall,rankable_3plus,3,risk_score,risk probability plus temporal smoothing,1,49,3.4285714285714284,6,168,53,115,17,49,30,0.6122448979591837,0.5660377358490566,0.7647058823529411,31,30,0.967741935483871,15,0.5555555555555556,19,0.16521739130434782,21,1.0
overall,rankable_3plus,3,risk_score,risk probability plus temporal smoothing,3,49,3.4285714285714284,6,168,53,115,17,147,52,0.35374149659863946,0.9811320754716981,1.0,31,31,1.0,27,1.0,95,0.8260869565217391,34,1.0
overall,rankable_3plus,3,risk_score,risk probability plus temporal smoothing,5,49,3.4285714285714284,6,168,53,115,17,165,53,0.3212121212121212,1.0,1.0,31,31,1.0,27,1.0,112,0.9739130434782609,35,1.0
overall,rankable_3plus,3,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,1,49,3.4285714285714284,6,168,53,115,17,49,27,0.5510204081632653,0.5094339622641509,0.7058823529411765,31,27,0.8709677419354839,15,0.5555555555555556,22,0.19130434782608696,21,1.0
overall,rankable_3plus,3,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,3,49,3.4285714285714284,6,168,53,115,17,147,47,0.3197278911564626,0.8867924528301887,1.0,31,31,1.0,25,0.9259259259259259,100,0.8695652173913043,35,1.0
overall,rankable_3plus,3,anomaly_ensemble_score,Mahalanobis + IsolationForest anomaly ensemble,5,49,3.4285714285714284,6,168,53,115,17,165,51,0.3090909090909091,0.9622641509433962,1.0,31,31,1.0,27,1.0,114,0.991304347826087,35,1.0
overall,rankable_3plus,3,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,1,49,3.4285714285714284,6,168,53,115,17,49,25,0.5102040816326531,0.4716981132075472,0.6470588235294118,31,25,0.8064516129032258,13,0.48148148148148145,24,0.20869565217391303,22,2.0
overall,rankable_3plus,3,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,3,49,3.4285714285714284,6,168,53,115,17,147,46,0.3129251700680272,0.8679245283018868,1.0,31,31,1.0,25,0.9259259259259259,101,0.8782608695652174,35,2.0
overall,rankable_3plus,3,mw_anomaly_context_score,1h/3h/6h/12h multi-window anomaly context score,5,49,3.4285714285714284,6,168,53,115,17,165,51,0.3090909090909091,0.9622641509433962,1.0,31,31,1.0,27,1.0,114,0.991304347826087,35,2.0
overall,rankable_3plus,3,multi_horizon_persistence_score,24h/3d/7d persistence score,1,49,3.4285714285714284,6,168,53,115,17,49,27,0.5510204081632653,0.5094339622641509,0.6470588235294118,31,27,0.8709677419354839,16,0.5925925925925926,22,0.19130434782608696,20,1.0
