split,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
train,407,1.0,1.0,1.0,1.0,0.0
validation,143,0.6223776223776224,0.4581994893336628,0.5610423675657182,0.7902097902097902,0.5174825174825175
holdout,86,0.7093023255813954,0.47969995311767466,0.6998920616230007,0.9651162790697675,0.32558139534883723
