feature,category,importance,missing_rate,zero_rate,unique_count,min,median,max,target_corr,causal_requirement
dhw_supply_temperature_gap__last__roll24h_delta,causal_temporal,47.0,0.0,0.5850973751058425,498,-57.36,0.0,12.18,0.031099234999167197,must be computed using only data available at or before window_end
outdoor_temperature__mean__roll24h_delta,causal_temporal,47.0,0.0,0.20660457239627433,1807,-11.838888888888892,0.0,13.322222222222223,-0.044167876455819544,must be computed using only data available at or before window_end
mw_anomaly_12h_score__delta1,anomaly_derived,45.0,0.0,0.05292125317527519,2238,-142.2815541609344,0.0,159.19641609140157,0.01475452927663533,must be computed using only data available at or before window_end
network_temperature_gap__last__roll3d_slope,causal_temporal,44.0,0.0,0.05927180355630821,2123,-30.0,0.0,19.999999999999993,0.08665363013043921,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll24h_delta,causal_temporal,43.0,0.0,0.21464860287891618,1218,-38.25,0.0,44.27777777777777,-0.0032096555873706036,must be computed using only data available at or before window_end
risk_probability,risk_derived,41.0,0.0,0.0,2357,0.0011193607982698,0.0205885541336902,0.997570688789836,0.01348995780130575,must be computed using only data available at or before window_end
network_temperature_gap__max_abs__roll24h_delta,causal_temporal,40.0,0.0,0.27222692633361556,525,-50.0,0.0,37.0,-0.06622269268452174,must be computed using only data available at or before window_end
group_mahalanobis_manufacturer_score_ratio__lag2,anomaly_derived,39.0,0.0,0.0,2125,0.0941342824420659,0.44575506086688643,17407.644964338444,0.017956641437276533,must be computed using only data available at or before window_end
p_net_meter_flow__mean__roll7d_slope,causal_temporal,39.0,0.0,0.05334462320067739,2237,-1309000.000000001,0.5812754953379923,1277499.9999999993,-0.017649921058098587,must be computed using only data available at or before window_end
p_net_return_temperature__mean__roll7d_slope,causal_temporal,39.0,0.0,0.0550381033022862,2231,-15.858333333333334,0.0,10.52777777777776,-0.08608709519055925,must be computed using only data available at or before window_end
outdoor_temperature__std__roll3d_mean,causal_temporal,38.0,0.0,0.003386960203217612,2354,0.0,0.6185427833346822,4.177605787353724,-0.051487528393632145,must be computed using only data available at or before window_end
s_hc1_supply_temperature_setpoint__delta,causal_temporal,38.0,0.0,0.23878069432684165,1003,-67.0,0.0,60.95,0.02466793474898998,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll7d_mean,causal_temporal,37.0,0.0,0.0,2310,17.261111111111113,89.27284210292024,106.78703703703702,0.04736489052805593,must be computed using only data available at or before window_end
raw_ae_score_max__lag1,raw_ae_derived,37.0,0.0,0.0,2240,1.4750423,6.4474786,150.97084,-0.06042473345919543,must be computed using only data available at or before window_end
s_dhw_supply_temperature__mean__roll24h_delta,causal_temporal,36.0,0.0,0.5224386113463166,1059,-31.018,0.0,11.833333333333321,0.03133988553193508,must be computed using only data available at or before window_end
s_hc1_supply_temperature__mean__roll24h_delta,causal_temporal,35.0,0.0,0.20702794242167655,1767,-18.427777777777784,0.0,25.066666666666666,0.003458081847763273,must be computed using only data available at or before window_end
mw_anomaly_1h_score__roll3_mean,anomaly_derived,34.0,0.0,0.0,2362,0.3327631042539005,0.4359624223748503,196.2730590125413,-0.02880341110127528,must be computed using only data available at or before window_end
p_hc1_return_temperature__delta,causal_temporal,34.0,0.0,0.018628281117696866,1007,-22.8,-0.1000000000000014,30.25,-0.02510325926101041,must be computed using only data available at or before window_end
outdoor_temperature__std,sensor_window_stat,33.0,0.0,0.010160880609652836,2330,0.0,0.49797897329628726,9.964874819019562,-0.04715863709066975,must be computed using only data available at or before window_end
mw_anomaly_3h_mahalanobis_score_ratio,anomaly_derived,32.0,0.0,0.0,2362,0.0445307903675388,0.19477701647284673,480.643205736482,-0.05427849215807319,must be computed using only data available at or before window_end
mw_anomaly_12h_score__lag1,anomaly_derived,31.0,0.0,0.0,2240,0.3592885276453573,0.5001345728786595,232.51930028869864,-0.05490060528729497,must be computed using only data available at or before window_end
network_temperature_gap__mean__delta1,causal_temporal,31.0,0.0,0.06308213378492802,1666,-33.638888888888886,0.0,38.80555555555556,0.06181756525596868,must be computed using only data available at or before window_end
p_hc1_return_temperature__std,sensor_window_stat,31.0,0.0,0.006773920406435224,2346,0.0,1.8594367083863825,12.604497496642107,-0.10946477349042398,must be computed using only data available at or before window_end
s_hc1_supply_temperature__mean__roll3d_slope,causal_temporal,30.0,0.0,0.05334462320067739,2236,-14.474444444444451,0.003797635445364097,15.773611111111087,0.0442430418761685,must be computed using only data available at or before window_end
outdoor_temperature__max,sensor_window_stat,30.0,0.0,0.0021168501270110076,710,-5.3,9.64375,35.9,0.012845759930152002,must be computed using only data available at or before window_end
network_temperature_gap__max_abs__roll24h_mean,causal_temporal,29.0,0.0,0.0029635901778154107,939,0.0,48.0,69.5,-0.07463793839254797,must be computed using only data available at or before window_end
risk_probability_roll4_max__delta1,risk_derived,29.0,0.0,0.5990685859441152,948,-0.8004009678136764,0.0,0.7123385550573144,-0.026237309001002736,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll24h_mean,causal_temporal,28.0,0.0,0.005080440304826418,1709,-43.85000000000001,0.15000000000000213,43.5125,-0.004717227802505523,must be computed using only data available at or before window_end
mw_anomaly_1h_score__lag1,anomaly_derived,27.0,0.0,0.0,2240,0.3265654694545863,0.42338262910477814,390.22550535005735,-0.0067413195208872725,must be computed using only data available at or before window_end
p_net_meter_heat_power__mean__roll3d_slope,causal_temporal,27.0,0.0,0.0563082133784928,2229,-49088.888888888876,0.02932773245273286,29033.333333333314,-0.021114878478735038,must be computed using only data available at or before window_end
s_hc1_supply_temperature__mean__roll24h_mean,causal_temporal,27.0,0.0,0.0,2337,13.917847222222221,58.537847222222226,83.67638888888888,0.09124544900616804,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last,sensor_window_stat,27.0,0.0,0.02201524132091448,795,-50.00000000000001,0.1499999999999985,46.900000000000006,-0.01535787738930463,must be computed using only data available at or before window_end
anomaly_ensemble_score__roll3_mean,anomaly_derived,26.0,0.0,0.0,2362,0.36210115134087567,0.5377035482780714,240.85924165997795,-0.06157203673265461,must be computed using only data available at or before window_end
outdoor_temperature__last,sensor_window_stat,26.0,0.0,0.002540220152413209,813,-6.5,8.350000000000001,31.8,0.02146344809611088,must be computed using only data available at or before window_end
mw_anomaly_12h_score,anomaly_derived,25.0,0.0,0.0,2362,0.3592885276453573,0.5007955535426494,232.51930028869864,-0.04541250154090516,must be computed using only data available at or before window_end
network_temperature_gap__mean__roll3d_slope,causal_temporal,25.0,0.0,0.056731583403895,2224,-16.38888888888889,0.005487567987567783,15.32888888888887,0.12310575793467836,must be computed using only data available at or before window_end
network_temperature_gap__mean__roll7d_slope,causal_temporal,25.0,0.0,0.056731583403895,2227,-16.38888888888889,0.0028236783792339047,15.32888888888887,0.1298603184480683,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll3d_slope,causal_temporal,25.0,0.0,0.0550381033022862,2224,-26.000000000000007,0.004831973581974786,5.138888888888879,0.03512934701422911,must be computed using only data available at or before window_end
s_dhw_upper_storage_temperature__std,sensor_window_stat,25.0,0.0,0.003386960203217612,1528,0.0,1.3527774006071067,20.742640935536624,-0.0527342271182781,must be computed using only data available at or before window_end
s_hc1_supply_temperature__min,sensor_window_stat,25.0,0.0,0.0,808,12.79,52.150000000000006,83.6,0.1382635317834933,must be computed using only data available at or before window_end
mw_anomaly_12h_criticality,anomaly_derived,24.0,0.0,0.9060118543607113,28,0.0,0.0,27.0,-0.06249358278163505,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__roll7d_slope,causal_temporal,24.0,0.0,0.0550381033022862,2229,-26.000000000000007,0.002854090354088029,5.138888888888879,0.0438105199443214,must be computed using only data available at or before window_end
risk_probability_roll4_max__lag2,risk_derived,24.0,0.0,0.0,972,0.0015068382051977,0.060162159798862,0.997570688789836,0.060801556026051654,must be computed using only data available at or before window_end
p_net_meter_heat_power__min,sensor_window_stat,24.0,0.0,0.1096528365791702,738,0.0,81.5,231200.0,0.07767338005547485,must be computed using only data available at or before window_end
mw_anomaly_12h_score__lag2,anomaly_derived,23.0,0.0,0.0,2125,0.3592885276453573,0.4994267631333307,232.51930028869864,-0.04871027647207507,must be computed using only data available at or before window_end
outdoor_temperature__mean__roll7d_mean,causal_temporal,23.0,0.0,0.0,2348,-2.5694444444444446,8.470722853535353,27.779265873015873,0.018194185624708023,must be computed using only data available at or before window_end
p_net_meter_heat_power__delta,causal_temporal,23.0,0.0,0.04741744284504657,1260,-299000.0,0.1666666666666667,169100.0,0.061132428087105006,must be computed using only data available at or before window_end
s_dhw_upper_storage_temperature__delta,causal_temporal,23.0,0.0,0.014817950889077053,693,-56.9,-0.004999999999999,58.1,0.028616573943266076,must be computed using only data available at or before window_end
p_net_return_temperature__std,sensor_window_stat,23.0,0.0,0.021591871295512276,2290,0.0,2.3483116079194275,17.385544077110236,-0.1734624846315117,must be computed using only data available at or before window_end
mw_anomaly_1h_iforest_score_ratio,anomaly_derived,22.0,0.0,0.0,2362,0.6500102475786836,0.7555254946329497,1.1325008944432189,-0.0986387875509158,must be computed using only data available at or before window_end
dhw_supply_temperature_gap__last__roll7d_slope,causal_temporal,22.0,0.0,0.16088060965283657,1207,-21.499999999999993,0.0,59.16999999999999,0.03376148046995896,must be computed using only data available at or before window_end
hc1_supply_temperature_gap__last__roll3d_slope,causal_temporal,22.0,0.0,0.05376799322607959,2229,-22.94999999999998,0.0,23.075,-0.026332050816022495,must be computed using only data available at or before window_end
network_temperature_gap__last__roll3d_mean,causal_temporal,22.0,0.0,0.003386960203217612,1604,-1.0,40.85253787878788,63.0,-0.0037933489230574345,must be computed using only data available at or before window_end
p_net_supply_temperature__mean__lag1,causal_temporal,22.0,0.0,0.0,1485,11.25,89.41666666666667,109.72763888888888,0.03494390445793423,must be computed using only data available at or before window_end
