variant,category,feature_count,importance_sum,importance_mean
A8_top200,base_sensor_or_state,62,1458.0,23.516129032258064
A8_top200,timeflow,46,1005.0,21.847826086956523
A8_top200,risk_horizon,9,447.0,49.666666666666664
A8_top200,time_context,5,261.0,52.2
A8_top200,anomaly_context,3,103.0,34.333333333333336
A8_top200,risk_context,2,98.0,49.0
A8_top200,risk_episode,2,96.0,48.0
A8_top200,base_context,1,86.0,86.0
A8_top50,sensor_horizon,23,2729.0,118.65217391304348
A8_top50,base_sensor_or_state,9,890.0,98.88888888888889
A8_top50,timeflow,8,834.0,104.25
A8_top50,risk_horizon,3,450.0,150.0
A8_top50,time_context,3,378.0,126.0
A8_top50,anomaly_context,1,129.0,129.0
A8_top50,base_context,1,113.0,113.0
A8_top50,risk_context,1,145.0,145.0
A8_top50,risk_episode,1,132.0,132.0
