variant,split,actual_bucket,predicted_bucket,count
A4_no_risk_horizon_episode,train,1-3d,0-24h,0
A4_no_risk_horizon_episode,train,1-3d,1-3d,234
A4_no_risk_horizon_episode,train,1-3d,3-7d,0
A4_no_risk_horizon_episode,train,3-7d,0-24h,0
A4_no_risk_horizon_episode,train,3-7d,1-3d,0
A4_no_risk_horizon_episode,train,3-7d,3-7d,36
A4_no_risk_horizon_episode,validation,0-24h,0-24h,32
A4_no_risk_horizon_episode,validation,0-24h,1-3d,7
A4_no_risk_horizon_episode,validation,0-24h,3-7d,0
A4_no_risk_horizon_episode,validation,1-3d,0-24h,20
A4_no_risk_horizon_episode,validation,1-3d,1-3d,54
A4_no_risk_horizon_episode,validation,1-3d,3-7d,0
A4_no_risk_horizon_episode,validation,3-7d,0-24h,18
A4_no_risk_horizon_episode,validation,3-7d,1-3d,12
A4_no_risk_horizon_episode,validation,3-7d,3-7d,0
A4_no_risk_horizon_episode,holdout,0-24h,0-24h,28
A4_no_risk_horizon_episode,holdout,0-24h,1-3d,7
A4_no_risk_horizon_episode,holdout,0-24h,3-7d,0
A4_no_risk_horizon_episode,holdout,1-3d,0-24h,13
A4_no_risk_horizon_episode,holdout,1-3d,1-3d,35
A4_no_risk_horizon_episode,holdout,1-3d,3-7d,0
A4_no_risk_horizon_episode,holdout,3-7d,0-24h,2
A4_no_risk_horizon_episode,holdout,3-7d,1-3d,1
A4_no_risk_horizon_episode,holdout,3-7d,3-7d,0
A5_no_raw_ae_context,train,0-24h,0-24h,137
A5_no_raw_ae_context,train,0-24h,1-3d,0
A5_no_raw_ae_context,train,0-24h,3-7d,0
A5_no_raw_ae_context,train,1-3d,0-24h,0
A5_no_raw_ae_context,train,1-3d,1-3d,234
A5_no_raw_ae_context,train,1-3d,3-7d,0
A5_no_raw_ae_context,train,3-7d,0-24h,0
A5_no_raw_ae_context,train,3-7d,1-3d,0
A5_no_raw_ae_context,train,3-7d,3-7d,36
A5_no_raw_ae_context,validation,0-24h,0-24h,9
A5_no_raw_ae_context,validation,0-24h,1-3d,30
A5_no_raw_ae_context,validation,0-24h,3-7d,0
A5_no_raw_ae_context,validation,1-3d,0-24h,3
A5_no_raw_ae_context,validation,1-3d,1-3d,71
A5_no_raw_ae_context,validation,1-3d,3-7d,0
A5_no_raw_ae_context,validation,3-7d,0-24h,8
A5_no_raw_ae_context,validation,3-7d,1-3d,22
A5_no_raw_ae_context,validation,3-7d,3-7d,0
A5_no_raw_ae_context,holdout,0-24h,0-24h,23
A5_no_raw_ae_context,holdout,0-24h,1-3d,12
A5_no_raw_ae_context,holdout,0-24h,3-7d,0
A5_no_raw_ae_context,holdout,1-3d,0-24h,10
A5_no_raw_ae_context,holdout,1-3d,1-3d,38
A5_no_raw_ae_context,holdout,1-3d,3-7d,0
A5_no_raw_ae_context,holdout,3-7d,0-24h,3
A5_no_raw_ae_context,holdout,3-7d,1-3d,0
A5_no_raw_ae_context,holdout,3-7d,3-7d,0
A6_no_anomaly_context,train,0-24h,0-24h,137
A6_no_anomaly_context,train,0-24h,1-3d,0
A6_no_anomaly_context,train,0-24h,3-7d,0
A6_no_anomaly_context,train,1-3d,0-24h,0
A6_no_anomaly_context,train,1-3d,1-3d,234
A6_no_anomaly_context,train,1-3d,3-7d,0
A6_no_anomaly_context,train,3-7d,0-24h,0
A6_no_anomaly_context,train,3-7d,1-3d,0
A6_no_anomaly_context,train,3-7d,3-7d,36
A6_no_anomaly_context,validation,0-24h,0-24h,8
A6_no_anomaly_context,validation,0-24h,1-3d,31
A6_no_anomaly_context,validation,0-24h,3-7d,0
A6_no_anomaly_context,validation,1-3d,0-24h,1
A6_no_anomaly_context,validation,1-3d,1-3d,73
A6_no_anomaly_context,validation,1-3d,3-7d,0
A6_no_anomaly_context,validation,3-7d,0-24h,8
A6_no_anomaly_context,validation,3-7d,1-3d,22
