model_key,label,path,sha256,model_version,model_type,best_iteration,feature_order,training_basis,n_train_metadata,n_holdout_metadata
lgbm_priority_only,LGBM priority-only package,lgbm_priority_model\heatgrid_priority_model_2026-06-26\model_handoff\heatgrid_priority_model_2026-06-26\priority\lightgbm_priority_model.joblib,2c4640f199f5baa744abbb07891056e9c158f6304ab31a848e5f8e62a7bc8bfa,priority_v3_lgbm_reg,LGBMRegressor,384,anomaly_score|risk_probability|risk_score|leadtime_prob_0-24h|leadtime_prob_1-3d|leadtime_prob_3-7d|predicted_lead_time_confidence,data/processed/ml_model_chain/model_chain_output.csv,2509,837
lgbm_prediction_bundle,LGBM prediction+priority package,lgbm_priority_model\heatgrid_prediction_priority_models_2026-06-26\model_handoff\heatgrid_prediction_priority_models_2026-06-26\priority\lightgbm_priority_model.joblib,2c4640f199f5baa744abbb07891056e9c158f6304ab31a848e5f8e62a7bc8bfa,priority_v3_lgbm_reg,LGBMRegressor,384,anomaly_score|risk_probability|risk_score|leadtime_prob_0-24h|leadtime_prob_1-3d|leadtime_prob_3-7d|predicted_lead_time_confidence,data/processed/ml_model_chain/model_chain_output.csv,2509,837
