split,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
train,407,1.0,1.0,1.0,1.0,0.0
validation,143,0.43356643356643354,0.3223443223443223,0.3955275493737032,0.7902097902097902,0.7132867132867133
holdout,86,0.6511627906976745,0.4405430711610487,0.6431767703161746,0.9651162790697675,0.38372093023255816
