split,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
train,407,1.0,1.0,1.0,1.0,0.0
validation,143,0.43356643356643354,0.31960784313725493,0.39827231591937473,0.7902097902097902,0.7132867132867133
holdout,86,0.6511627906976745,0.4329004329004329,0.638477801268499,0.9651162790697675,0.38372093023255816
