split,row_count,accuracy,macro_f1,weighted_f1,top2_accuracy,bucket_distance_mae
train,407,1.0,1.0,1.0,1.0,0.0
validation,143,0.4755244755244755,0.34795882583493204,0.43188904665481187,0.7902097902097902,0.6503496503496503
holdout,86,0.6162790697674418,0.4118150684931507,0.6067218859509397,0.9651162790697675,0.4186046511627907
