variant,feature_count,split,scope,metric_type,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision_high_or_critical,recall_high_or_critical,f1_high_or_critical,false_positive_rate_high_or_critical
risk_plus_thermal_iforest_z,191,holdout,manufacturer_2_sh,base,65,53,12,0.699685534591195,0.31959135978743825,0.2857142857142857,0.16666666666666666,0.21052631578947367,0.09433962264150944
risk_plus_thermal_iforest_z,191,holdout,manufacturer_2_sh,calibrated,65,53,12,0.699685534591195,0.31959135978743825,0.0,0.0,0.0,0.0
risk_plus_nodrift_iforest,190,train,overall,base,1631,1224,407,0.9999999999999999,1.0,1.0,1.0,1.0,0.0
risk_plus_nodrift_iforest,190,train,overall,calibrated,1631,1224,407,0.9999999999999999,1.0,1.0,1.0,1.0,0.0
risk_plus_nodrift_iforest,190,train,manufacturer_2_sh,base,290,181,109,1.0,0.9999999999999998,1.0,1.0,1.0,0.0
risk_plus_nodrift_iforest,190,train,manufacturer_2_sh,calibrated,290,181,109,1.0,0.9999999999999998,1.0,1.0,1.0,0.0
risk_plus_nodrift_iforest,190,validation,overall,base,431,288,143,0.7828525641025642,0.7866298452342719,0.7744360902255639,0.7202797202797203,0.7463768115942029,0.10416666666666667
risk_plus_nodrift_iforest,190,validation,overall,calibrated,431,288,143,0.7828525641025642,0.7866298452342719,0.7087378640776699,0.5104895104895105,0.5934959349593496,0.10416666666666667
risk_plus_nodrift_iforest,190,validation,manufacturer_2_sh,base,84,33,51,0.6535947712418301,0.7135321795976819,0.8478260869565217,0.7647058823529411,0.8041237113402062,0.21212121212121213
risk_plus_nodrift_iforest,190,validation,manufacturer_2_sh,calibrated,84,33,51,0.6535947712418301,0.7135321795976819,0.5625,0.17647058823529413,0.26865671641791045,0.21212121212121213
risk_plus_nodrift_iforest,190,holdout,overall,base,300,214,86,0.619647902629863,0.35770184130761745,0.38095238095238093,0.37209302325581395,0.3764705882352941,0.24299065420560748
risk_plus_nodrift_iforest,190,holdout,overall,calibrated,300,214,86,0.619647902629863,0.35770184130761745,0.375,0.313953488372093,0.34177215189873417,0.2102803738317757
risk_plus_nodrift_iforest,190,holdout,manufacturer_2_sh,base,65,53,12,0.6572327044025157,0.24933061518906172,0.2631578947368421,0.4166666666666667,0.3225806451612903,0.2641509433962264
risk_plus_nodrift_iforest,190,holdout,manufacturer_2_sh,calibrated,65,53,12,0.6572327044025157,0.24933061518906172,0.0,0.0,0.0,0.1320754716981132
risk_plus_both_iforest_scores,191,train,overall,base,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
risk_plus_both_iforest_scores,191,train,overall,calibrated,1631,1224,407,1.0,1.0,1.0,1.0,1.0,0.0
risk_plus_both_iforest_scores,191,train,manufacturer_2_sh,base,290,181,109,1.0,0.9999999999999998,1.0,1.0,1.0,0.0
risk_plus_both_iforest_scores,191,train,manufacturer_2_sh,calibrated,290,181,109,1.0,0.9999999999999998,1.0,1.0,1.0,0.0
risk_plus_both_iforest_scores,191,validation,overall,base,431,288,143,0.7781177156177156,0.8000841449571446,0.8046875,0.7202797202797203,0.7601476014760148,0.08680555555555555
risk_plus_both_iforest_scores,191,validation,overall,calibrated,431,288,143,0.7781177156177156,0.8000841449571446,0.8,0.6713286713286714,0.7300380228136882,0.08333333333333333
risk_plus_both_iforest_scores,191,validation,manufacturer_2_sh,base,84,33,51,0.7201426024955436,0.8132109441652793,0.8478260869565217,0.7647058823529411,0.8041237113402062,0.21212121212121213
risk_plus_both_iforest_scores,191,validation,manufacturer_2_sh,calibrated,84,33,51,0.7201426024955436,0.8132109441652793,0.8421052631578947,0.6274509803921569,0.7191011235955056,0.18181818181818182
risk_plus_both_iforest_scores,191,holdout,overall,base,300,214,86,0.6870788958921974,0.4053808660954084,0.45454545454545453,0.4069767441860465,0.4294478527607362,0.19626168224299065
risk_plus_both_iforest_scores,191,holdout,overall,calibrated,300,214,86,0.6870788958921974,0.4053808660954084,0.4411764705882353,0.3488372093023256,0.38961038961038963,0.17757009345794392
risk_plus_both_iforest_scores,191,holdout,manufacturer_2_sh,base,65,53,12,0.7279874213836478,0.30031380471568647,0.3125,0.4166666666666667,0.35714285714285715,0.20754716981132076
risk_plus_both_iforest_scores,191,holdout,manufacturer_2_sh,calibrated,65,53,12,0.7279874213836478,0.30031380471568647,0.0,0.0,0.0,0.1320754716981132
risk_plus_both_iforest_z,193,train,overall,base,1631,1224,407,0.9999999999999999,1.0,1.0,1.0,1.0,0.0
risk_plus_both_iforest_z,193,train,overall,calibrated,1631,1224,407,0.9999999999999999,1.0,1.0,1.0,1.0,0.0
risk_plus_both_iforest_z,193,train,manufacturer_2_sh,base,290,181,109,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
risk_plus_both_iforest_z,193,train,manufacturer_2_sh,calibrated,290,181,109,1.0,0.9999999999999999,1.0,1.0,1.0,0.0
risk_plus_both_iforest_z,193,validation,overall,base,431,288,143,0.7560460372960374,0.7725177666667671,0.696551724137931,0.7062937062937062,0.7013888888888888,0.1527777777777778
risk_plus_both_iforest_z,193,validation,overall,calibrated,431,288,143,0.7560460372960374,0.7725177666667671,0.6454545454545455,0.4965034965034965,0.5612648221343873,0.13541666666666666
risk_plus_both_iforest_z,193,validation,manufacturer_2_sh,base,84,33,51,0.7617349970291146,0.8773480111604167,0.8837209302325582,0.7450980392156863,0.8085106382978723,0.15151515151515152
risk_plus_both_iforest_z,193,validation,manufacturer_2_sh,calibrated,84,33,51,0.7617349970291146,0.8773480111604167,1.0,0.1568627450980392,0.2711864406779661,0.0
risk_plus_both_iforest_z,193,holdout,overall,base,300,214,86,0.7340795479243643,0.4516568580426762,0.4745762711864407,0.32558139534883723,0.38620689655172413,0.14485981308411214
risk_plus_both_iforest_z,193,holdout,overall,calibrated,300,214,86,0.7340795479243643,0.4516568580426762,0.49019607843137253,0.29069767441860467,0.36496350364963503,0.12149532710280374
risk_plus_both_iforest_z,193,holdout,manufacturer_2_sh,base,65,53,12,0.7971698113207547,0.5287772738427557,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.09433962264150944
risk_plus_both_iforest_z,193,holdout,manufacturer_2_sh,calibrated,65,53,12,0.7971698113207547,0.5287772738427557,1.0,0.08333333333333333,0.15384615384615385,0.0
