variant,threshold,rows,positives,predicted_positive,predicted_positive_rate,precision,recall,f1,false_positive_rate,false_positive_count,true_positive_count
official_priority_v2,20.0,300,86,169,0.5633333333333334,0.4556213017751479,0.8953488372093024,0.6039215686274509,0.42990654205607476,92,77
official_priority_v2,20.5,300,86,166,0.5533333333333333,0.4457831325301205,0.8604651162790697,0.5873015873015873,0.42990654205607476,92,74
official_priority_v2,21.0,300,86,166,0.5533333333333333,0.4457831325301205,0.8604651162790697,0.5873015873015873,0.42990654205607476,92,74
official_priority_v2,21.5,300,86,166,0.5533333333333333,0.4457831325301205,0.8604651162790697,0.5873015873015873,0.42990654205607476,92,74
official_priority_v2,22.0,300,86,161,0.5366666666666666,0.45962732919254656,0.8604651162790697,0.5991902834008097,0.40654205607476634,87,74
official_priority_v2,22.5,300,86,155,0.5166666666666667,0.4774193548387097,0.8604651162790697,0.6141078838174274,0.37850467289719625,81,74
official_priority_v2,23.0,300,86,146,0.4866666666666667,0.5068493150684932,0.8604651162790697,0.6379310344827587,0.3364485981308411,72,74
official_priority_v2,23.5,300,86,141,0.47,0.524822695035461,0.8604651162790697,0.6519823788546255,0.3130841121495327,67,74
official_priority_v2,24.0,300,86,134,0.44666666666666666,0.5522388059701493,0.8604651162790697,0.6727272727272727,0.2803738317757009,60,74
official_priority_v2,24.5,300,86,128,0.4266666666666667,0.5703125,0.8488372093023255,0.6822429906542056,0.2570093457943925,55,73
official_priority_v2,25.0,300,86,119,0.39666666666666667,0.5966386554621849,0.8255813953488372,0.6926829268292682,0.22429906542056074,48,71
official_priority_v2,25.5,300,86,112,0.37333333333333335,0.6339285714285714,0.8255813953488372,0.7171717171717171,0.19158878504672897,41,71
official_priority_v2,26.0,300,86,109,0.36333333333333334,0.6513761467889908,0.8255813953488372,0.7282051282051282,0.17757009345794392,38,71
official_priority_v2,26.5,300,86,107,0.3566666666666667,0.6635514018691588,0.8255813953488372,0.7357512953367875,0.16822429906542055,36,71
official_priority_v2,27.0,300,86,105,0.35,0.6761904761904762,0.8255813953488372,0.743455497382199,0.1588785046728972,34,71
official_priority_v2,27.5,300,86,104,0.3466666666666667,0.6730769230769231,0.813953488372093,0.7368421052631579,0.1588785046728972,34,70
official_priority_v2,28.0,300,86,100,0.3333333333333333,0.66,0.7674418604651163,0.7096774193548387,0.1588785046728972,34,66
official_priority_v2,28.5,300,86,100,0.3333333333333333,0.66,0.7674418604651163,0.7096774193548387,0.1588785046728972,34,66
official_priority_v2,29.0,300,86,100,0.3333333333333333,0.66,0.7674418604651163,0.7096774193548387,0.1588785046728972,34,66
official_priority_v2,29.5,300,86,99,0.33,0.6666666666666666,0.7674418604651163,0.7135135135135136,0.1542056074766355,33,66
official_priority_v2,30.0,300,86,99,0.33,0.6666666666666666,0.7674418604651163,0.7135135135135136,0.1542056074766355,33,66
official_priority_v2,30.5,300,86,96,0.32,0.6666666666666666,0.7441860465116279,0.7032967032967034,0.14953271028037382,32,64
official_priority_v2,31.0,300,86,96,0.32,0.6666666666666666,0.7441860465116279,0.7032967032967034,0.14953271028037382,32,64
official_priority_v2,31.5,300,86,94,0.31333333333333335,0.6702127659574468,0.7325581395348837,0.7,0.14485981308411214,31,63
official_priority_v2,32.0,300,86,91,0.30333333333333334,0.6593406593406593,0.6976744186046512,0.6779661016949152,0.14485981308411214,31,60
official_priority_v2,32.5,300,86,89,0.2966666666666667,0.651685393258427,0.6744186046511628,0.6628571428571428,0.14485981308411214,31,58
official_priority_v2,33.0,300,86,88,0.29333333333333333,0.6477272727272727,0.6627906976744186,0.6551724137931034,0.14485981308411214,31,57
official_priority_v2,33.5,300,86,87,0.29,0.6436781609195402,0.6511627906976745,0.6473988439306358,0.14485981308411214,31,56
official_priority_v2,34.0,300,86,87,0.29,0.6436781609195402,0.6511627906976745,0.6473988439306358,0.14485981308411214,31,56
official_priority_v2,34.5,300,86,86,0.2866666666666667,0.6395348837209303,0.6395348837209303,0.6395348837209303,0.14485981308411214,31,55
official_priority_v2,35.0,300,86,85,0.2833333333333333,0.6352941176470588,0.627906976744186,0.631578947368421,0.14485981308411214,31,54
official_priority_v2,35.5,300,86,83,0.27666666666666667,0.6265060240963856,0.6046511627906976,0.6153846153846154,0.14485981308411214,31,52
official_priority_v2,36.0,300,86,82,0.2733333333333333,0.6219512195121951,0.5930232558139535,0.6071428571428571,0.14485981308411214,31,51
official_priority_v2,36.5,300,86,82,0.2733333333333333,0.6219512195121951,0.5930232558139535,0.6071428571428571,0.14485981308411214,31,51
official_priority_v2,37.0,300,86,82,0.2733333333333333,0.6219512195121951,0.5930232558139535,0.6071428571428571,0.14485981308411214,31,51
official_priority_v2,37.5,300,86,82,0.2733333333333333,0.6219512195121951,0.5930232558139535,0.6071428571428571,0.14485981308411214,31,51
official_priority_v2,38.0,300,86,81,0.27,0.6172839506172839,0.5813953488372093,0.5988023952095808,0.14485981308411214,31,50
official_priority_v2,38.5,300,86,80,0.26666666666666666,0.6125,0.5697674418604651,0.5903614457831325,0.14485981308411214,31,49
official_priority_v2,39.0,300,86,80,0.26666666666666666,0.6125,0.5697674418604651,0.5903614457831325,0.14485981308411214,31,49
official_priority_v2,39.5,300,86,80,0.26666666666666666,0.6125,0.5697674418604651,0.5903614457831325,0.14485981308411214,31,49
official_priority_v2,40.0,300,86,78,0.26,0.6025641025641025,0.5465116279069767,0.573170731707317,0.14485981308411214,31,47
official_priority_v2,40.5,300,86,76,0.25333333333333335,0.6052631578947368,0.5348837209302325,0.5679012345679012,0.14018691588785046,30,46
official_priority_v2,41.0,300,86,74,0.24666666666666667,0.6081081081081081,0.5232558139534884,0.5625,0.13551401869158877,29,45
official_priority_v2,41.5,300,86,73,0.24333333333333335,0.6164383561643836,0.5232558139534884,0.5660377358490566,0.1308411214953271,28,45
official_priority_v2,42.0,300,86,70,0.23333333333333334,0.6285714285714286,0.5116279069767442,0.5641025641025641,0.12149532710280374,26,44
official_priority_v2,42.5,300,86,70,0.23333333333333334,0.6285714285714286,0.5116279069767442,0.5641025641025641,0.12149532710280374,26,44
official_priority_v2,43.0,300,86,68,0.22666666666666666,0.6470588235294118,0.5116279069767442,0.5714285714285714,0.11214953271028037,24,44
official_priority_v2,43.5,300,86,64,0.21333333333333335,0.6875,0.5116279069767442,0.5866666666666667,0.09345794392523364,20,44
official_priority_v2,44.0,300,86,59,0.19666666666666666,0.7457627118644068,0.5116279069767442,0.6068965517241379,0.07009345794392523,15,44
official_priority_v2,44.5,300,86,58,0.19333333333333333,0.7586206896551724,0.5116279069767442,0.6111111111111112,0.06542056074766354,14,44
official_priority_v2,45.0,300,86,52,0.17333333333333334,0.8461538461538461,0.5116279069767442,0.6376811594202898,0.037383177570093455,8,44
official_priority_v2,45.5,300,86,52,0.17333333333333334,0.8461538461538461,0.5116279069767442,0.6376811594202898,0.037383177570093455,8,44
official_priority_v2,46.0,300,86,52,0.17333333333333334,0.8461538461538461,0.5116279069767442,0.6376811594202898,0.037383177570093455,8,44
official_priority_v2,46.5,300,86,50,0.16666666666666666,0.88,0.5116279069767442,0.6470588235294118,0.028037383177570093,6,44
official_priority_v2,47.0,300,86,47,0.15666666666666668,0.9361702127659575,0.5116279069767442,0.6616541353383458,0.014018691588785047,3,44
official_priority_v2,47.5,300,86,45,0.15,0.9777777777777777,0.5116279069767442,0.6717557251908397,0.004672897196261682,1,44
official_priority_v2,48.0,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
official_priority_v2,48.5,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
official_priority_v2,49.0,300,86,44,0.14666666666666667,1.0,0.5116279069767442,0.676923076923077,0.0,0,44
official_priority_v2,49.5,300,86,41,0.13666666666666666,1.0,0.47674418604651164,0.6456692913385826,0.0,0,41
official_priority_v2,50.0,300,86,41,0.13666666666666666,1.0,0.47674418604651164,0.6456692913385826,0.0,0,41
official_priority_v2,50.5,300,86,41,0.13666666666666666,1.0,0.47674418604651164,0.6456692913385826,0.0,0,41
official_priority_v2,51.0,300,86,39,0.13,1.0,0.45348837209302323,0.624,0.0,0,39
official_priority_v2,51.5,300,86,37,0.12333333333333334,1.0,0.43023255813953487,0.6016260162601627,0.0,0,37
official_priority_v2,52.0,300,86,37,0.12333333333333334,1.0,0.43023255813953487,0.6016260162601627,0.0,0,37
official_priority_v2,52.5,300,86,37,0.12333333333333334,1.0,0.43023255813953487,0.6016260162601627,0.0,0,37
official_priority_v2,53.0,300,86,36,0.12,1.0,0.4186046511627907,0.5901639344262295,0.0,0,36
official_priority_v2,53.5,300,86,35,0.11666666666666667,1.0,0.4069767441860465,0.5785123966942148,0.0,0,35
official_priority_v2,54.0,300,86,34,0.11333333333333333,1.0,0.3953488372093023,0.5666666666666667,0.0,0,34
official_priority_v2,54.5,300,86,32,0.10666666666666667,1.0,0.37209302325581395,0.5423728813559322,0.0,0,32
official_priority_v2,55.0,300,86,30,0.1,1.0,0.3488372093023256,0.5172413793103449,0.0,0,30
official_priority_v2,55.5,300,86,29,0.09666666666666666,1.0,0.3372093023255814,0.5043478260869565,0.0,0,29
official_priority_v2,56.0,300,86,28,0.09333333333333334,1.0,0.32558139534883723,0.49122807017543857,0.0,0,28
official_priority_v2,56.5,300,86,27,0.09,1.0,0.313953488372093,0.4778761061946903,0.0,0,27
official_priority_v2,57.0,300,86,27,0.09,1.0,0.313953488372093,0.4778761061946903,0.0,0,27
official_priority_v2,57.5,300,86,27,0.09,1.0,0.313953488372093,0.4778761061946903,0.0,0,27
official_priority_v2,58.0,300,86,26,0.08666666666666667,1.0,0.3023255813953488,0.4642857142857143,0.0,0,26
official_priority_v2,58.5,300,86,26,0.08666666666666667,1.0,0.3023255813953488,0.4642857142857143,0.0,0,26
official_priority_v2,59.0,300,86,26,0.08666666666666667,1.0,0.3023255813953488,0.4642857142857143,0.0,0,26
