split,policy,total_fault_events,detected_fault_events,event_recall,detected_24h_events,detected_3d_events,detected_7d_events,event_recall_24h,event_recall_3d,event_recall_7d,median_first_alarm_lead_hours,mean_first_alarm_lead_hours
holdout,global,13,8,0.6153846153846154,7,8,8,0.5384615384615384,0.6153846153846154,0.6153846153846154,23.69166666666639,34.83690972222216
train,global,48,35,0.7291666666666666,22,35,35,0.4583333333333333,0.7291666666666666,0.7291666666666666,66.06666666666695,57.882531746031646
validation,global,10,5,0.5,2,5,5,0.2,0.5,0.5,68.0,47.44333333333333
holdout,manufacturer,13,12,0.9230769230769231,11,11,12,0.8461538461538461,0.8461538461538461,0.9230769230769231,45.9,46.630162037036996
train,manufacturer,48,40,0.8333333333333334,26,40,40,0.5416666666666666,0.8333333333333334,0.8333333333333334,65.50833333333347,59.84763194444433
validation,manufacturer,10,7,0.7,4,7,7,0.4,0.7,0.7,68.0,58.9619047619048
holdout,manufacturer_configuration,13,13,1.0,11,12,13,0.8461538461538461,0.9230769230769231,1.0,64.0,58.80861111111108
train,manufacturer_configuration,48,46,0.9583333333333334,41,46,46,0.8541666666666666,0.9583333333333334,0.9583333333333334,64.29374999999986,60.20627415458928
validation,manufacturer_configuration,10,9,0.9,9,9,9,0.9,0.9,0.9,64.88333333333277,68.2499999999999
