split,method,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate
holdout,global,394,261,133,0.6496989600437876,0.6005061044456143,0.6271186440677966,0.2781954887218045,0.3854166666666667,0.0842911877394636
train,global,1770,1263,507,0.8232066976813917,0.7348910657706942,0.9386792452830188,0.39250493096646943,0.5535465924895688,0.010292953285827395
validation,global,362,243,119,0.4605249507210292,0.3471098909893535,0.5833333333333334,0.058823529411764705,0.10687022900763359,0.0205761316872428
holdout,manufacturer,394,261,133,0.6089073257857287,0.5814908690159317,0.3905325443786982,0.49624060150375937,0.4370860927152318,0.3946360153256705
train,manufacturer,1770,1263,507,0.9215870918776089,0.8649613452289107,0.94921875,0.47928994082840237,0.6369593709043251,0.010292953285827395
validation,manufacturer,362,243,119,0.35809385482588096,0.2987493824837403,0.1518987341772152,0.10084033613445378,0.12121212121212122,0.2757201646090535
holdout,manufacturer_configuration,394,261,133,0.7082649151614668,0.7393997857918275,0.3323076923076923,0.8120300751879699,0.47161572052401746,0.8314176245210728
train,manufacturer_configuration,1770,1263,507,0.9749945732039648,0.9529821434639997,0.9594272076372315,0.7928994082840237,0.8682505399568035,0.013460015835312747
validation,manufacturer_configuration,362,243,119,0.5801431683784626,0.41757614004096816,0.3566666666666667,0.8991596638655462,0.5107398568019093,0.7942386831275721
