split,method,row_count,normal_count,pre_fault_count,roc_auc,average_precision,precision,recall,f1,false_positive_rate
train,raw_ae_alarm_q999_c24,1652,1235,417,0.8083107602986437,0.6706210622827163,1.0,0.3237410071942446,0.4891304347826087,0.0
train,raw_ae_alarm_q999_c32,1652,1235,417,0.8083107602986437,0.6706210622827163,1.0,0.29256594724220625,0.45269016697588127,0.0
train,raw_ae_alarm_q998_c48,1652,1235,417,0.8083107602986437,0.6706210622827163,1.0,0.2973621103117506,0.4584103512014787,0.0
train,raw_ae_alarm_union_q998_c48_or_q999_spike,1652,1235,417,0.8083107602986437,0.6706210622827163,1.0,0.2973621103117506,0.4584103512014787,0.0
validation,raw_ae_alarm_q999_c24,344,240,104,0.3565304487179487,0.22916313418776824,0.0,0.0,0.0,0.0
validation,raw_ae_alarm_q999_c32,344,240,104,0.3565304487179487,0.22916313418776824,0.0,0.0,0.0,0.0
validation,raw_ae_alarm_q998_c48,344,240,104,0.3565304487179487,0.22916313418776824,0.0,0.0,0.0,0.11666666666666667
validation,raw_ae_alarm_union_q998_c48_or_q999_spike,344,240,104,0.3565304487179487,0.22916313418776824,0.0,0.0,0.0,0.11666666666666667
holdout,raw_ae_alarm_q999_c24,366,251,115,0.687891910618396,0.5664325630531744,1.0,0.24347826086956523,0.3916083916083916,0.0
holdout,raw_ae_alarm_q999_c32,366,251,115,0.687891910618396,0.5664325630531744,1.0,0.24347826086956523,0.3916083916083916,0.0
holdout,raw_ae_alarm_q998_c48,366,251,115,0.687891910618396,0.5664325630531744,1.0,0.2956521739130435,0.4563758389261745,0.0
holdout,raw_ae_alarm_union_q998_c48_or_q999_spike,366,251,115,0.687891910618396,0.5664325630531744,1.0,0.2956521739130435,0.4563758389261745,0.0
